site_name,study_count_for_site,latitude,longitude,coordinate_status,coordinate_source_name,coordinate_source_url,study_title,study_year,study_doi,study_source,study_landing_page_url,study_pdf_url,study_authors,abstract_excerpt
Acari Valley,3,,,missing,,,"Bodies of evidence : human decapitation during the early intermediate period in the Acari Valley, south coast, Peru",2011,10.14288/1.0058405,Open Collections,https://doi.org/10.14288/1.0058405,,Craig Preston Smith,"The Nasca, who occupied parts of the Peruvian south coast during the Early Intermediate Period (EIP; ca. A.D. 1-750), are famous for their immense ground drawings, elaborate textiles, and attractive polychrome pottery. They are also well-known for their practice of collecting and modifying human heads. Caches of these well-preserved, and often mummified, ""trophy"" heads have been found by archaeologists working in the valleys of the Rio Grande de Nazca drainage, once the heartland of Nasca society. Based on the contexts in which they are found, as well as their depiction in the iconography of the Nasca and earlier Paracas culture (ca. 800 B.C. - A.D. 1), the heads have come to be seen as important ideological symbols, which were likely incorporated in rituals centered on themes of water, fertility, and regeneration. While the interpretation of the ritual purpose of Nasca ""trophy"" heads is widely accepted, the nature and context in which the heads were obtained is the subject of much ..."
Acari Valley,3,,,missing,,,"Inka sacrificial guinea pigs from Tambo Viejo, Peru",2019,10.1002/oa.2755,International Journal of Osteoarchaeology,https://doi.org/10.1002/oa.2755,,Lidio M. Valdez,"Abstract Early Spaniards reported that the Inkas periodically slaughtered hundreds of animals, guinea pigs being the most common sacrificial animals. It is stated that in a single ceremony, hundreds of guinea pigs were killed. Although the ethnohistorical accounts provide good information about the Inka motivations for guinea pig sacrifice, archaeologically, the occurrence of large numbers of sacrificed guinea pigs had not been found. Recent research conducted at the Inka site of Tambo Viejo, in the Acari Valley of the Peruvian south coast, encountered several dozens of sacrificed guinea pigs that overall represent the single largest find known for the entire former Inka territory. In preparation for sacrifice, some of guinea pigs had been adorned with colorful strings that were placed as earrings as well with colorful necklaces also made from colorful strings. Some of the guinea pigs were also enveloped in a rug before burial. Similar evidence is unknown from anywhere within the fo..."
Acari Valley,3,,,missing,,,"Walled Settlements, Buffer Zones, and Human Decapitation in the Acari Valley, Peru",2009,10.3998/jar.0521004.0065.302,Journal of Anthropological Research,https://doi.org/10.3998/jar.0521004.0065.302,,Lidio M. Valdéz,"Severed human heads constitute one of the hallmarks of the Early Intermediate period of the Peruvian South Coast region. The ancient art of this region (including pottery and textiles) frequently portrays severed heads that are often associated with mythical beings. Actual heads, identified as trophies, have also been found in all the valleys of the region, suggesting that human decapitation and trophy head taking were important aspects of Early Intermediate period society on the South Coast. Notwithstanding the occurrence of trophies, decapitated human bodies are seldom found in the archaeological record. Recent archaeological excavations carried out at Amato, an Early Intermediate period site in the Acari Valley, resulted in the unprecedented finding of dozens of decapitated bodies buried inside a centrally located structure. In addition to the heads, several cervical bones are also absent, and the uppermost cervical vertebrae that remain often exhibit unmistakable cut marks. Vict..."
Alto del Molino,1,,,missing,,,"The First Field Season of Excavations at the Alto del Molino Site, Pisco Valley, Peru",1997,10.1179/jfa.1997.24.4.441,Journal of Field Archaeology,https://doi.org/10.1179/jfa.1997.24.4.441,,Helaine Silverman,"AbstractLittle archaeological fieldwork has been conducted in the Pisco Valley on the south coast of Peru and Pisco has long been regarded as inconsequential in the cultural dynamics of the region's prehistory. Yet a critical review of the literature and, especially, the results of recent excavations at the Alto del Molino site reveal that Pisco played an important role in the development of social complexity on the south coast at the end of the Early Horizon (ca. 300–1 B.C.) through the early Early Intermediate Period (ca. A.C. 1–300). The Pisco Valley is part of the larger context of the great cemeteries of the nearby, desolate Paracas Peninsula and the valley contributes to our understanding of those elaborate mortuary phenomena. In addition, a major regional culture called Carmen flourished in Pisco following the abandonment of the Paracas cemeteries and contemporary Pisco Valley sites. Carmen is contemporary with early Nasca culture of the Ica and Nazca valleys to the south and..."
Cahuachi,7,-14.818611,-75.116667,verified,Wikimedia Commons Category: Cahuachi,https://commons.wikimedia.org/wiki/Category:Cahuachi,Cahuachi: Non-Urban Cultural Complexity on the South Coast of Peru,1988,10.1179/jfa.1988.15.4.403,Journal of Field Archaeology,https://doi.org/10.1179/jfa.1988.15.4.403,,Helaine Silverman,"AbstractAbstractThe association of urbanism and complex society is common in archaeological literature, but the definition of urbanism and the identification of urban settlements in the field have been plagued by inconsistencies. Nowhere is this clearer than in the continuing canon that there was an urban tradition on the south coast of Peru that reached its height in the late Early Horizon (ca. 400–1 B.C.) and Early Intermediate Period (ca. A.C. 1–600) and then disappeared with the fall of the highland Wari Empire during the Middle Horizon (ca. A.C. 600–1000). One of the key sites in the promulgation of such an interpretation has been the great early Nazca center of Cahuachi, in the Nazca Valley, but recent excavations at Cahuachi dispute the site's widely contended urban nature. This research also forms the basis for a necessary reanalysis and reconstruction of south coast settlement pattern and its associated sociopolitical milieu. This paper presents the strategy and results of ..."
Cahuachi,7,-14.818611,-75.116667,verified,Wikimedia Commons Category: Cahuachi,https://commons.wikimedia.org/wiki/Category:Cahuachi,Combating Illegal Excavations in Cahuachi: Ancient Problems and Modern Technologies,2016,10.1007/978-3-319-47052-8_25,,https://doi.org/10.1007/978-3-319-47052-8_25,,Rosa Lasaponara; Nicola Masini,
Cahuachi,7,-14.818611,-75.116667,verified,Wikimedia Commons Category: Cahuachi,https://commons.wikimedia.org/wiki/Category:Cahuachi,Integrated Remote Sensing Approach in Cahuachi (Peru): Studies and Results of the ITACA Mission (2007–2010),2011,10.1007/978-90-481-8801-7_14,Remote sensing and digital image processing,https://doi.org/10.1007/978-90-481-8801-7_14,,Nicola Masini; Rosa Lasaponara; Enzo Rizzo; Giuseppe Orefici,
Cahuachi,7,-14.818611,-75.116667,verified,Wikimedia Commons Category: Cahuachi,https://commons.wikimedia.org/wiki/Category:Cahuachi,Integrated remote sensing techniques for the detection of buried archaeological adobe structures: preliminary results in Cahuachi (Peru),2008,10.5194/adgeo-19-75-2008,Advances in geosciences,https://doi.org/10.5194/adgeo-19-75-2008,https://adgeo.copernicus.org/articles/19/75/2008/adgeo-19-75-2008.pdf,Nicola Masini; Enzo Rizzo; Rosa Lasaponara; Giuseppe Orefici,"Abstract. This paper is focused on the jointly use of satellite Quickbird (QB) images and Ground Probing Radar (GPR) for assessing their capability in the detection of archaeological adobe structures (sun-dried earth material). Such detection is particularly complex. due to the low contrast generally existing between the archaeological features and the background. Two significant test areas were investigated in the Ceremonial Centre of Cahuachi (in the Nasca territory, Southern Peru) dating back to 6th century BC to 4th century AD. Our results showed that both satellite and GPR data provided valuable indications for unearthing precious ancient remains. Our preliminary analyses pointed out that the integrated use of non destructive remote sensing techniques has high potentiality for its important scientific implications and for its significant contributions to cultural resource management."
Cahuachi,7,-14.818611,-75.116667,verified,Wikimedia Commons Category: Cahuachi,https://commons.wikimedia.org/wiki/Category:Cahuachi,"New discoveries in the Piramide Naranjada in Cahuachi (Peru) using satellite, Ground Probing Radar and magnetic investigations",2011,10.1016/j.jas.2010.12.010,Journal of Archaeological Science,https://doi.org/10.1016/j.jas.2010.12.010,,Rosa Lasaponara; Nicola Masini; Enzo Rizzo; Giuseppe Orefici,
Cahuachi,7,-14.818611,-75.116667,verified,Wikimedia Commons Category: Cahuachi,https://commons.wikimedia.org/wiki/Category:Cahuachi,On the detection of adobe buried archaeological structures using multiscale remote sensing techniques : Piramide Naranja in Cahuachi (Peru),2009,,EGUGA,http://ui.adsabs.harvard.edu/abs/2009EGUGA..11.6982M/abstract,,Nicola Masini; Enzo Rizzo; Rosa Lasaponara; Giuseppe Orefici,
Cahuachi,7,-14.818611,-75.116667,verified,Wikimedia Commons Category: Cahuachi,https://commons.wikimedia.org/wiki/Category:Cahuachi,V. The Early Nasca Pilgrimage Center of Cahuachi and the Nazca Lines: Anthropological and Archaeological Perspectives,1990,10.70249/9798893981193-008,Lines of Nazca,https://doi.org/10.70249/9798893981193-008,,Helaine Silverman,
Cerro Baul,1,,,missing,,,"Isotopic evidence for Middle Horizon to 16th century camelid herding in the Osmore Valley, Peru",2010,10.1002/oa.1157,International Journal of Osteoarchaeology,https://doi.org/10.1002/oa.1157,,Erin Kennedy Thornton; Susan D. deFrance; John Krigbaum; Patrick Ryan Williams,"Abstract Archaeological and zooarchaeological data indicate that camelid pastoralism was a subsistence and economic mainstay of Middle Horizon and more recent cultures in the Osmore region of southern Peru. However, it is not known whether camelids were primarily herded in highland puna pastures or near lower elevation sites in the middle valley or along the coast. This research examines the elevation of archaeological camelid herding in the Osmore Valley using stable isotope analysis. Stable carbon (δ 13 C) and nitrogen (δ 15 N) isotope ratios were measured on 28 archaeological camelid bone samples from the Middle Horizon sites of Cerro Baúl and Cerro Mejía, the Late Intermediate site of Yaral and the late pre‐Hispanic to Colonial period site of Torata Alta. Twenty‐three archaeological camelids have δ 13 C and δ 15 N values similar to five modern camelids maintained in highland puna pastures. In contrast, three camelids from the high status Wari site of Cerro Baúl, and two from Yar..."
Cerro Mejia,1,,,missing,,,"Isotopic evidence for Middle Horizon to 16th century camelid herding in the Osmore Valley, Peru",2010,10.1002/oa.1157,International Journal of Osteoarchaeology,https://doi.org/10.1002/oa.1157,,Erin Kennedy Thornton; Susan D. deFrance; John Krigbaum; Patrick Ryan Williams,"Abstract Archaeological and zooarchaeological data indicate that camelid pastoralism was a subsistence and economic mainstay of Middle Horizon and more recent cultures in the Osmore region of southern Peru. However, it is not known whether camelids were primarily herded in highland puna pastures or near lower elevation sites in the middle valley or along the coast. This research examines the elevation of archaeological camelid herding in the Osmore Valley using stable isotope analysis. Stable carbon (δ 13 C) and nitrogen (δ 15 N) isotope ratios were measured on 28 archaeological camelid bone samples from the Middle Horizon sites of Cerro Baúl and Cerro Mejía, the Late Intermediate site of Yaral and the late pre‐Hispanic to Colonial period site of Torata Alta. Twenty‐three archaeological camelids have δ 13 C and δ 15 N values similar to five modern camelids maintained in highland puna pastures. In contrast, three camelids from the high status Wari site of Cerro Baúl, and two from Yar..."
Chachapoya,1,,,missing,,,Survey of a Peruvian Archaeological Site Using LiDAR and Photogrammetry: A Contribution to the Study of the Chachapoya,2021,10.1007/978-3-030-86979-3_43,Lecture notes in computer science,https://doi.org/10.1007/978-3-030-86979-3_43,,Giovanni Righetti; Stefano Serafini; Fabian Brondi Rueda; Warren Church; Gabriele Garnero,
