provider,title,year,doi,source,landing_page_url,pdf_url,authors,coordinate_mentions,abstract_excerpt
openalex,Integrated remote sensing techniques for the detection of buried archaeological adobe structures: preliminary results in Cahuachi (Peru),2008,10.5194/adgeo-19-75-2008,Advances in geosciences,https://doi.org/10.5194/adgeo-19-75-2008,https://adgeo.copernicus.org/articles/19/75/2008/adgeo-19-75-2008.pdf,Nicola Masini; Enzo Rizzo; Rosa Lasaponara; Giuseppe Orefici,0,"Abstract. This paper is focused on the jointly use of satellite Quickbird (QB) images and Ground Probing Radar (GPR) for assessing their capability in the detection of archaeological adobe structures (sun-dried earth material). Such detection is particularly complex. due to the low contrast generally existing between the archaeological features and the background. Two significant test areas were investigated in the Ceremonial Centre of Cahuachi (in the Nasca territory, Southern Peru) dating back to 6th century BC to 4th century AD. Our results showed that both satellite and GPR data provided valuable indications for unearthing precious ancient remains. Our preliminary analyses pointed out that the integrated use of non destructive remote sensing techniques has high potentiality for its important scientific implications and for its significant contributions to cultural resource management."
openalex,Satellite-Based Monitoring of Archaeological Looting in Peru,2011,10.1007/978-90-481-8801-7_8,Remote sensing and digital image processing,https://doi.org/10.1007/978-90-481-8801-7_8,,Rosa Lasaponara; Maria Danese; Nicola Masini,0,
openalex,Addressing the challenge of detecting archaeological adobe structures in Southern Peru using QuickBird imagery,2009,10.1016/j.culher.2009.10.005,Journal of Cultural Heritage,https://doi.org/10.1016/j.culher.2009.10.005,,Nicola Masini; Rosa Lasaponara; Giuseppe Orefici,0,
openalex,"New discoveries in the Piramide Naranjada in Cahuachi (Peru) using satellite, Ground Probing Radar and magnetic investigations",2011,10.1016/j.jas.2010.12.010,Journal of Archaeological Science,https://doi.org/10.1016/j.jas.2010.12.010,,Rosa Lasaponara; Nicola Masini; Enzo Rizzo; Giuseppe Orefici,0,
openalex,Integrated Remote Sensing Approach in Cahuachi (Peru): Studies and Results of the ITACA Mission (2007–2010),2011,10.1007/978-90-481-8801-7_14,Remote sensing and digital image processing,https://doi.org/10.1007/978-90-481-8801-7_14,,Nicola Masini; Rosa Lasaponara; Enzo Rizzo; Giuseppe Orefici,0,
openalex,On the detection of adobe buried archaeological structures using multiscale remote sensing techniques : Piramide Naranja in Cahuachi (Peru),2009,,EGUGA,http://ui.adsabs.harvard.edu/abs/2009EGUGA..11.6982M/abstract,,Nicola Masini; Enzo Rizzo; Rosa Lasaponara; Giuseppe Orefici,0,
openalex,Trends and perspectives of space-borne SAR remote sensing for archaeological landscape and cultural heritage applications,2016,10.1016/j.jasrep.2016.07.017,Journal of Archaeological Science Reports,https://doi.org/10.1016/j.jasrep.2016.07.017,https://ars.els-cdn.com/content/image/1-s2.0-S2352409X1630373X-fx1_lrg.jpg,Deodato Tapete; Francesca Cigna,0,
openalex,COSMO-SkyMed SAR for Detection and Monitoring of Archaeological and Cultural Heritage Sites,2019,10.3390/rs11111326,Remote Sensing,https://doi.org/10.3390/rs11111326,https://www.mdpi.com/2072-4292/11/11/1326/pdf?version=1559473097,Deodato Tapete; Francesca Cigna,0,"Synthetic aperture radar (SAR) imagery has long been used in archaeology since the earliest space radar missions in the 1980s. In the current scenario of SAR missions, the Italian Space Agency (ASI)’s COnstellation of small Satellites for Mediterranean basin Observation (COSMO-SkyMed) has peculiar properties that make this mission of potential use by archaeologists and heritage practitioners: high to very high spatial resolution, site revisit of up to one day, and conspicuous image archives over cultural heritage sites across the globe. While recent literature and the number of research projects using COSMO-SkyMed data for science and applied research suggest a growing interest in these data, it is felt that COSMO-SkyMed still needs to be further disseminated across the archaeological remote sensing community. This paper therefore offers a portfolio of use-cases that were developed in the last two years in the Scientific Research Unit of ASI, where COSMO-SkyMed data were analysed to..."
openalex,Semi-automated detection of looting in Afghanistan using multispectral imagery and principal component analysis,2017,10.15184/aqy.2017.90,Antiquity,https://doi.org/10.15184/aqy.2017.90,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/A649663703443DBAB767D434587BBB1C/S0003598X17000904a.pdf/div-class-title-semi-automated-detection-of-looting-in-afghanistan-using-multispectral-imagery-and-principal-component-analysis-div.pdf,Anthony J. Lauricella; Joshua Cannon; Scott Branting; Emily Hammer,0,Abstract
openalex,"Multitemporal 2016-2018 Sentinel-2 Data Enhancement for Landscape Archaeology: The Case Study of the Foggia Province, Southern Italy",2020,10.3390/rs12081309,Remote Sensing,https://doi.org/10.3390/rs12081309,https://www.mdpi.com/2072-4292/12/8/1309/pdf?version=1587898353,Nicodemo Abate; Abdelaziz Elfadaly; Nicola Masini; Rosa Lasaponara,0,"This paper is focused on the use of satellite Sentinel-2 data for assessing their capability in the identification of archaeological buried remains. We selected the “Tavoliere delle Puglie” (Foggia, Italy) as a test area because it is characterized by a long human frequentation and is very rich in archaeological remains. The investigations were performed using multi-temporal Sentinel-2 data and spectral indices, commonly used in satellite-based archaeology, and herein analyzed in known archaeological areas to capture the spectral signatures of soil and crop marks and characterize their temporal behavior using Time Series Analysis and Spectral Un-mixing. Tasseled Cap Transformation and Principal Component Analysis have been also adopted to enhance archaeological features. Results from investigations were compared with independent data sources and enabled us to (i) characterize the spectral signatures of soil and crop marks, (ii) assess the performance of the diverse spectral channels..."
