provider,title,year,doi,source,landing_page_url,pdf_url,authors,coordinate_mentions,abstract_excerpt
openalex,Space-Based Identification of Archaeological Illegal Excavations and a New Automatic Method for Looting Feature Extraction in Desert Areas,2018,10.1007/s10712-018-9480-4,Surveys in Geophysics,https://doi.org/10.1007/s10712-018-9480-4,,Rosa Lasaponara; Nicola Masini,0,
openalex,Combining Structure-from-Motion with high and intermediate resolution satellite images to document threats to archaeological heritage in arid environments,2014,10.1016/j.culher.2014.04.003,Journal of Cultural Heritage,https://doi.org/10.1016/j.culher.2014.04.003,,Ralf Hesse,0,
openalex,Facing the Archaeological Looting in Peru by Using Very High Resolution Satellite Imagery and Local Spatial Autocorrelation Statistics,2010,10.1007/978-3-642-12156-2_19,Lecture notes in computer science,https://doi.org/10.1007/978-3-642-12156-2_19,,Rosa Lasaponara; Nicola Masini,0,
openalex,Combating Illegal Excavations in Cahuachi: Ancient Problems and Modern Technologies,2016,10.1007/978-3-319-47052-8_25,,https://doi.org/10.1007/978-3-319-47052-8_25,,Rosa Lasaponara; Nicola Masini,0,
openalex,Space Based Monitoring of Archaeological Looting: An Overview in Peruvian Archaeological Areas,2017,10.1007/978-3-319-62404-4_52,Lecture notes in computer science,https://doi.org/10.1007/978-3-319-62404-4_52,,Rosa Lasaponara; Nicola Masini,0,
openalex,Airborne and spaceborne remote sensing for archaeological and cultural heritage applications: A review of the century (1907–2017),2019,10.1016/j.rse.2019.111280,Remote Sensing of Environment,https://doi.org/10.1016/j.rse.2019.111280,https://ars.els-cdn.com/content/image/1-s2.0-S0034425719302998-ga1_lrg.jpg,Lei Luo; Xinyuan Wang; Huadong Guo; Rosa Lasaponara; Xin Zong; Nicola Masini; Guizhou Wang; Pilong Shi; Houcine Khatteli; Fulong Chen; Shahina Tariq; Jie Shao; Nabil Bachagha; Ruixia Yang; Ya Yao,0,"Archaeological and cultural heritage (ACH), one of the core carriers of cultural diversity on our planet, has a direct bearing on the sustainable development of mankind. Documenting and protecting ACH is the common responsibility and duty of all humanity. It is governed by UNESCO along with the scientific communities that foster and encourage the use of advanced non-invasive techniques and methods for promoting scientific research into ACH and conservation of ACH sites. The use of remote sensing, a non-destructive tool, is increasingly popular by specialists around the world as it allows fast prospecting and mapping at multiple scales, rapid analysis of multisource datasets, and dynamic monitoring of ACH sites and their surrounding environments. The cost of using remote sensing is lower or even zero in practical applications. In this review, in order to discuss the advantages of airborne and spaceborne remote sensing (ASRS), the principles that make passive (photography, multispectr..."
openalex,COSMO-SkyMed SAR for Detection and Monitoring of Archaeological and Cultural Heritage Sites,2019,10.3390/rs11111326,Remote Sensing,https://doi.org/10.3390/rs11111326,https://www.mdpi.com/2072-4292/11/11/1326/pdf?version=1559473097,Deodato Tapete; Francesca Cigna,0,"Synthetic aperture radar (SAR) imagery has long been used in archaeology since the earliest space radar missions in the 1980s. In the current scenario of SAR missions, the Italian Space Agency (ASI)’s COnstellation of small Satellites for Mediterranean basin Observation (COSMO-SkyMed) has peculiar properties that make this mission of potential use by archaeologists and heritage practitioners: high to very high spatial resolution, site revisit of up to one day, and conspicuous image archives over cultural heritage sites across the globe. While recent literature and the number of research projects using COSMO-SkyMed data for science and applied research suggest a growing interest in these data, it is felt that COSMO-SkyMed still needs to be further disseminated across the archaeological remote sensing community. This paper therefore offers a portfolio of use-cases that were developed in the last two years in the Scientific Research Unit of ASI, where COSMO-SkyMed data were analysed to..."
openalex,Trends and perspectives of space-borne SAR remote sensing for archaeological landscape and cultural heritage applications,2016,10.1016/j.jasrep.2016.07.017,Journal of Archaeological Science Reports,https://doi.org/10.1016/j.jasrep.2016.07.017,https://ars.els-cdn.com/content/image/1-s2.0-S2352409X1630373X-fx1_lrg.jpg,Deodato Tapete; Francesca Cigna,0,
openalex,Towards the use of artificial intelligence deep learning networks for detection of archaeological sites,2022,10.1088/2051-672x/ac9492,Surface Topography Metrology and Properties,https://doi.org/10.1088/2051-672x/ac9492,https://iopscience.iop.org/article/10.1088/2051-672X/ac9492/pdf,Alexandra Karamitrou; Fraser Sturt; Petros Bogiatzis; David Beresford‐Jones,0,"Abstract While remote sensing data have long been widely used in archaeological prospection over large areas, the task of examining such data is time consuming and requires experienced and specialist analysts. However, recent technological advances in the field of artificial intelligence (AI), and in particular deep learning methods, open possibilities for the automated analysis of large areas of remote sensing data. This paper examines the applicability and potential of supervised deep learning methods for the detection and mapping of different kinds of archaeological sites comprising features such as walls and linear or curvilinear structures of different dimensions, spectral and geometrical properties. Our work deliberately uses open-source imagery to demonstrate the accessibility of these tools. One of the main challenges facing AI approaches has been that they require large amounts of labeled data to achieve high levels of accuracy so that the training stage requires significan..."
openalex,Mapping Indigenous Settlement Topography in the Caribbean Using Drones,2016,10.3390/rs8100791,Remote Sensing,https://doi.org/10.3390/rs8100791,https://www.mdpi.com/2072-4292/8/10/791/pdf?version=1474620717,Till Sonnemann; Jorge Ulloa Hung; Corinne L. Hofman,0,"The archaeology of Amerindian settlements in the Caribbean has mostly been identified through scatters of artefacts; predominantly conglomerations of shells, ceramics and lithics. While archaeological material may not always be visible on the surface, particular settlement patterns may be identifiable by a topography created through cultural action: earthen mounds interchanging with mostly circular flattened areas. In northern Hispaniola, recent foot surveys have identified more than 200 pre-colonial sites of which several have been mapped in high resolution. In addition, three settlements with topographical characteristics have been extensively excavated, confirming that the mounds and flattened areas may have had a cultural connotation in this region. Without the availability of high resolution LiDAR (Light Detection and Ranging) data, a photogrammetric approach using UAS (unmanned aircraft system, commonly known as drones) can fill the knowledge gap on a local scale, providing fa..."
