provider,title,year,doi,source,landing_page_url,pdf_url,authors,coordinate_mentions,abstract_excerpt
openalex,"A review of marine geomorphometry, the quantitative study of the seafloor",2016,10.5194/hess-20-3207-2016,Hydrology and earth system sciences,https://doi.org/10.5194/hess-20-3207-2016,https://www.hydrol-earth-syst-sci.net/20/3207/2016/hess-20-3207-2016.pdf,Vincent Lecours; Margaret F.J. Dolan; Aaron Micallef; VL Lucieer,0,"Abstract. Geomorphometry, the science of quantitative terrain characterization, has traditionally focused on the investigation of terrestrial landscapes. However, the dramatic increase in the availability of digital bathymetric data and the increasing ease by which geomorphometry can be investigated using geographic information systems (GISs) and spatial analysis software has prompted interest in employing geomorphometric techniques to investigate the marine environment. Over the last decade or so, a multitude of geomorphometric techniques (e.g. terrain attributes, feature extraction, automated classification) have been applied to characterize seabed terrain from the coastal zone to the deep sea. Geomorphometric techniques are, however, not as varied, nor as extensively applied, in marine as they are in terrestrial environments. This is at least partly due to difficulties associated with capturing, classifying, and validating terrain characteristics underwater. There is, nevertheles..."
openalex,Trends and perspectives of space-borne SAR remote sensing for archaeological landscape and cultural heritage applications,2016,10.1016/j.jasrep.2016.07.017,Journal of Archaeological Science Reports,https://doi.org/10.1016/j.jasrep.2016.07.017,https://ars.els-cdn.com/content/image/1-s2.0-S2352409X1630373X-fx1_lrg.jpg,Deodato Tapete; Francesca Cigna,0,
openalex,COSMO-SkyMed SAR for Detection and Monitoring of Archaeological and Cultural Heritage Sites,2019,10.3390/rs11111326,Remote Sensing,https://doi.org/10.3390/rs11111326,https://www.mdpi.com/2072-4292/11/11/1326/pdf?version=1559473097,Deodato Tapete; Francesca Cigna,0,"Synthetic aperture radar (SAR) imagery has long been used in archaeology since the earliest space radar missions in the 1980s. In the current scenario of SAR missions, the Italian Space Agency (ASI)’s COnstellation of small Satellites for Mediterranean basin Observation (COSMO-SkyMed) has peculiar properties that make this mission of potential use by archaeologists and heritage practitioners: high to very high spatial resolution, site revisit of up to one day, and conspicuous image archives over cultural heritage sites across the globe. While recent literature and the number of research projects using COSMO-SkyMed data for science and applied research suggest a growing interest in these data, it is felt that COSMO-SkyMed still needs to be further disseminated across the archaeological remote sensing community. This paper therefore offers a portfolio of use-cases that were developed in the last two years in the Scientific Research Unit of ASI, where COSMO-SkyMed data were analysed to..."
openalex,The changing course of the Amazon River in the Neogene: center stage for Neotropical diversification,2018,10.1590/1982-0224-20180033,Neotropical Ichthyology,https://doi.org/10.1590/1982-0224-20180033,http://www.scielo.br/pdf/ni/v16n3/1982-0224-ni-16-03-e180033.pdf,James S. Albert; Pedro Val; Carina Hoorn,0,"ABSTRACT We review geological evidence on the origin of the modern transcontinental Amazon River, and the paleogeographic history of riverine connections among the principal sedimentary basins of northern South America through the Neogene. Data are reviewed from new geochronological datasets using radiogenic and stable isotopes, and from traditional geochronological methods, including sedimentology, structural mapping, sonic and seismic logging, and biostratigraphy. The modern Amazon River and the continental-scale Amazon drainage basin were assembled during the late Miocene and Pliocene, via some of the largest purported river capture events in Earth history. Andean sediments are first recorded in the Amazon Fan at about 10.1-9.4 Ma, with a large increase in sedimentation at about 4.5 Ma. The transcontinental Amazon River therefore formed over a period of about 4.9-5.6 million years, by means of several river capture events. The origins of the modern Amazon River are hypothesized t..."
openalex,Three Stones Make a Wall: The Story of Archaeology,2017,10.5325/jeasmedarcherstu.5.3-4.0454,Journal of Eastern Mediterranean Archaeology & Heritage Studies,https://doi.org/10.5325/jeasmedarcherstu.5.3-4.0454,,Brian M. Fagan,0,"Popular books on archaeology come in many guises. Some are edited volumes, others are textbooks, a few have a narrower focus or cater to National Geographic kinds of readers. All of them have a specific audience in mind. Many cater to undergraduates. Others aim firmly at very broad audiences, which is where Eric Cline assumes that his Three Stones belongs. The subtitle calls it “The Story of Archaeology,” which means that the book does not necessarily have to be a chronological account of great discoveries. This allows the author considerable latitude in what he writes about, of which he takes full advantage. Better, however, that he had called it “A Story of Archaeology.” There are narratives of archaeology around and this certainly is not The story with a capital T. Cline tells us that the text is based on introductory archaeology lectures he has given over the years. Fair enough, but I think that the best way to describe the book is as a kind of eclectic tour of selected archaeol..."
openalex,Earthworks Rising: Mound Building in Native Literature and Arts,2023,10.1215/00166928-10346899,Genre,http://dx.doi.org/10.1215/00166928-10346899,https://read.dukeupress.edu/genre/article-pdf/56/1/139/1937375/139garcia.pdf,Edgar Tello García,0,"A few years ago, before the pandemic, I was invited to visit a group of geoglyphs in the Sonoran Desert called the Blythe Intaglios, outside Blythe, California, along the Colorado River separating California from Arizona. These massive glyphs are scraped into the same desert whose hostility the US Border Patrol has recruited in its cynical policy of “prevention through deterrence,” creating what anthropologist Jason de León (2015) calls “the land of open graves,” insofar as border police enlist the heat, hostility, and danger of the desert to do the dirty work of migrant deterrence. This realization came to me as I was introduced to the glyphs by their local caretaker, who insisted, on the contrary, that they were signals of life, of the creation of life. They marked the location of the primordial home of the Mexica, Aztlán, whose cosmogonic caves—the caves of Chicomoztoc—were nearby in the Big Maria Mountains. This caretaker is named Alfredo Figueroa, a lively octogenarian organize..."
openalex,"Photogrammetric recording of the archaeological site of Pinchango Alto (Palpa, Peru) using a mini helicopter (UAV)",2005,10.1007/s004150050160,Journal of Neurology,,,Henri Eisenbeiss; Karsten Lambers; Martin Sauerbier,0,"We studied prospectively 105 unselected patients complaining of ptosis and/or diplopia due to extrinsic ophthalmic muscle palsies without other neurological signs. All patients underwent the same diagnostic protocol. The presenting symptoms were: ptosis, 35 patients (33%); diplopia, 27 patients (26%); ptosis and diplopia, 43 patients (41%). The oculomotor nerve was most frequently involved, followed by the abducens nerve. The final diagnoses were: ocular myasthenia, intracranial and/or orbital pathology, thyroid ophthalmopathy, diabetic ophthalmoplegia, mitochondrial myopathy, oculopharyngeal muscular dystrophy. In 26 patients (25%) the cause remained undetermined. Our study confirms the difficulty of establishing an aetiological diagnosis in patients with isolated ocular palsies."
openalex,"High Resolution Drone Surveying of the Pista Geoglyph in Palpa, Peru",2018,10.3390/geosciences8120479,Geosciences,https://doi.org/10.3390/geosciences8120479,https://www.mdpi.com/2076-3263/8/12/479/pdf?version=1544694681,Karel Pavelka; Jaroslav Šedina; Eva Matoušková,0,"Currently, satellite images can be used to document historical or archaeological sites in areas that are distant, dangerous, or expensive to visit, and they can be used instead of basic fieldwork in several cases. Nowadays, they have final resolution on 35–50 cm, which can be limited for searching of fine structures. Results using the analysis of very high resolution (VHR) satellite data and super resolution data from drone on an object nearby Palpa, Peru are discussed in this article. This study is a part of Nasca project focused on using satellite data for documentation and the analysis of the famous geoglyphs in Peru near Palpa and Nasca, and partially on the documentation of other historical objects. The use of drone shows advantages of this technology to achieve high resolution object documentation and analysis, which provide new details. The documented site was the “Pista” geoglyph. Discovering of unknown geoglyphs (a bird, a guinea pig, and other small drawings) was quite sig..."
openalex,Towards the use of artificial intelligence deep learning networks for detection of archaeological sites,2022,10.1088/2051-672x/ac9492,Surface Topography Metrology and Properties,https://doi.org/10.1088/2051-672x/ac9492,https://iopscience.iop.org/article/10.1088/2051-672X/ac9492/pdf,Alexandra Karamitrou; Fraser Sturt; Petros Bogiatzis; David Beresford‐Jones,0,"Abstract While remote sensing data have long been widely used in archaeological prospection over large areas, the task of examining such data is time consuming and requires experienced and specialist analysts. However, recent technological advances in the field of artificial intelligence (AI), and in particular deep learning methods, open possibilities for the automated analysis of large areas of remote sensing data. This paper examines the applicability and potential of supervised deep learning methods for the detection and mapping of different kinds of archaeological sites comprising features such as walls and linear or curvilinear structures of different dimensions, spectral and geometrical properties. Our work deliberately uses open-source imagery to demonstrate the accessibility of these tools. One of the main challenges facing AI approaches has been that they require large amounts of labeled data to achieve high levels of accuracy so that the training stage requires significan..."
openalex,Dating the geometric Nasca lines in the Peruvian desert,2005,10.1017/s0003598x00114176,Antiquity,https://doi.org/10.1017/s0003598x00114176,,W.J. Rink; J. Bartoll,0,"The Nasca lines are geoglyphs – arrays of stones forming geometric shapes constructed by ancient humans, the largest ones occupying areas of more than 1km 2 . The authors used optically stimulated luminescence dating of quartz buried when the stone lines were constructed to give new dates for contexts associated with geoglyphs on high mesetas near Palpa. They conclude that the stone lines at sites at San Ignacio and Sacramento were constructed between AD 400 and 650. This suggests that they were made in the later part of the Early Intermediate Period by people of the Nasca culture."
