provider,title,year,doi,source,landing_page_url,pdf_url,authors,coordinate_mentions,abstract_excerpt
openalex,"The geoglyphs of Palpa (Peru) : documentation, analysis, and interpretation",2004,10.5167/uzh-163230,Zurich Open Repository and Archive (University of Zurich),,,Karsten Lambers,0,"Gegenstand dieser Arbeit ist eine Untersuchung der weltbekannten Geoglyphen von Nasca an der Südküste Perus (400 v. Chr. - 600 n. Chr.) mit dem Ziel, neue Erkenntnisse über ihre Funktion und Bedeutung zu gewinnen. Ein bisher undokumentierter Korpus von über 600 Geoglyphen in der Gegend von Palpa wurde erstmals mit modernen Methoden der Geomatik, wie Luftbildphotogrammetrie und GIS, dokumentiert, modelliert und analysiert. Dies wurde ergänzt durch eine genaue archäologische Dokumentation der Geoglyphen im Gelände sowie die Auswertung und Interpretation der erhobenen Daten. Dieser interdisziplinäre Ansatz ermöglichte neue Erkenntnisse zur Chronologie, Typologie und räumlichen Verteilung der Geoglyphen. Zudem konnte ein Erklärungsmodell aus jüngerer Zeit anhand archäologischer Daten getestet werden, welches versucht, die Geoglyphen auf der Grundlage von sozialen, kulturellen und rituellen Traditionen des Andenraumes zu erklären. Die Untersuchung ergab, dass die Aktivitäten auf den Geog..."
openalex,OPTICAL DATING OF GRANITIC STONE SURFACES*,2005,10.1111/j.1475-4754.2005.00224.x,Archaeometry,https://doi.org/10.1111/j.1475-4754.2005.00224.x,,Steffen Greilich; Ulrich A. Glasmacher; Günther A. Wagner,0,"A novel luminescence methodology for dating surfaces of granitoid rocks is presented, with encouraging results for archaeological stone structures. It is based on the zeroing of the latent signal of optically stimulated luminescence (OSL) in feldspar and quartz grains of the stone surface during exposure to daylight. When after bleaching the surface is shielded from light, the OSL signal builds up again, such that its intensity provides an age for the event of the last exposure to light. This event could be the construction or the destruction of stone structures or, for example, sedimentary deposition of granitic boulders, such as in fan deposits. The experimental approach utilizes a high spatial resolution detection technique (HR‐OSL) for OSL of minerals that are left in their original petrological context; that is, without any mineral separation. With this approach, steep gradients in microdosimetry at the surface and at grain boundaries become important and are discussed in detai..."
openalex,"A comprehensive numerical chronology for the pre-Columbian cultures of the Palpa valleys, south coast of Peru",2012,10.1016/j.jas.2012.02.021,Journal of Archaeological Science,https://doi.org/10.1016/j.jas.2012.02.021,,Ingmar Unkel; Markus Reindel; Hermann Gorbahn; Johny Isla Cuadrado; Bernd Kromer; Volker Soßna,0,
openalex,A Chronology of the Pre-Columbian Paracas and Nasca Cultures in South Peru Based on AMS <sup>14</sup>C Dating,2007,10.1017/s0033822200042466,Radiocarbon,https://doi.org/10.1017/s0033822200042466,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/B201208B6ACF92EE733DD7976D5FACD2/S0033822200042466a.pdf/div-class-title-a-chronology-of-the-pre-columbian-paracas-and-nasca-cultures-in-south-peru-based-on-ams-span-class-sup-14-span-c-dating-div.pdf,Ingmar Unkel; Bernd Kromer; Markus Reindel; Lukas Wacker; Günther A. Wagner,0,"The people of the Paracas and Nasca cultures, the creators of the famous geoglyphs, lived in the desert of the southern coast of Peru between about 800 BC and AD 650. The archaeological chronology of these cultures has been based almost exclusively on a sequence of ceramic styles. The absolute dating of some of the style phases was supported by a few radiocarbon dates (Rowe 1967). Here, we present an absolute chronology of the Paracas and Nasca cultures based on 14 C dating of more than 100 organic samples from settlement and tomb relics, as well as on material derived from geoglyph sites in the Nasca/Palpa region (south Peru). The main focus has been on Nasca period settlement centers near Palpa, Los Molinos and La Muña, the Paracas period site of Jauranga, and the Initial period site of Pernil Alto. Most of the 14 C samples were dated at the accelerator mass spectrometry (AMS) facility of the ETH Zurich (Switzerland). The targets were produced in the newly built graphitization lin..."
openalex,"High Resolution Drone Surveying of the Pista Geoglyph in Palpa, Peru",2018,10.3390/geosciences8120479,Geosciences,https://doi.org/10.3390/geosciences8120479,https://www.mdpi.com/2076-3263/8/12/479/pdf?version=1544694681,Karel Pavelka; Jaroslav Šedina; Eva Matoušková,0,"Currently, satellite images can be used to document historical or archaeological sites in areas that are distant, dangerous, or expensive to visit, and they can be used instead of basic fieldwork in several cases. Nowadays, they have final resolution on 35–50 cm, which can be limited for searching of fine structures. Results using the analysis of very high resolution (VHR) satellite data and super resolution data from drone on an object nearby Palpa, Peru are discussed in this article. This study is a part of Nasca project focused on using satellite data for documentation and the analysis of the famous geoglyphs in Peru near Palpa and Nasca, and partially on the documentation of other historical objects. The use of drone shows advantages of this technology to achieve high resolution object documentation and analysis, which provide new details. The documented site was the “Pista” geoglyph. Discovering of unknown geoglyphs (a bird, a guinea pig, and other small drawings) was quite sig..."
openalex,A 3D-model of the Nasca lines at Palpa (Peru),2003,10.3929/ethz-a-004599129,Repository for Publications and Research Data (ETH Zurich),http://hdl.handle.net/20.500.11850/147649,http://hdl.handle.net/20.500.11850/147649,Martin Sauerbier; Karsten Lambers,0,"The Nasca Lines or geoglyphs in the desert of south Peru are among the most famous cultural heritage sites in the world.Unfortunately, their investigation and interpretation has been hampered for a long time by the lack of an accurate documentation.Based on aerial imagery that was especially acquired for this purpose, we produced a virtual 3D model of the northern part of the Nasca region, around the modern town of Palpa.The slopes and ridges of this area are covered by more than 1'500 geoglyphs that are shown in the model.This 3D model of Palpa, presented at the workshop for the first time in its complete form, is the result of 5 years of archaeological and photogrammetric fieldwork at Palpa jointly conducted by geodetic engineers of ETH Zurich and archaeologists from Germany and Peru.The model consists of a DTM, photorealistic texture based on an orthomosaic, and a vector layer showing the geoglyphs.These high-resolution datasets are needed to ensure accurate results of the intend..."
openalex,The Clock in the Corn Cob: On the Development of a Chronology of the Paracas and Nasca Period Based on Radiocarbon Dating,2009,10.1007/978-3-540-87438-6_14,Natural science in archaeology,https://doi.org/10.1007/978-3-540-87438-6_14,,Ingmar Unkel; Bernd Kromer,0,
openalex,"GIS-based visibility studies of the Nasca geoglyphs at Palpa, Peru",2006,,KOPS (University of Konstanz),http://nbn-resolving.de/urn:nbn:de:bsz:352-199011,http://nbn-resolving.de/urn:nbn:de:bsz:352-199011,Karsten Lambers; Martin Sauerbier,0,"The Nasca lines or geoglyphs in southern Peru are known as one of archaeology's greatest mysteries. Since the 1980s, however, new approaches have helped to better understand their function and meaning. The recent photogrammetric recording of 1 500 geoglyphs in the vicinity ofPalpa enabled for the first time a GIS-based analysis. Geoglyph visibility is one of their most discussed traits. While modern observers tend to view the geoglyphs from the air, their creators viewed and perceived them from the ground. The Palpa dataset allowed us to quantify geoglyph visibility and intervisibility by applying viewshed analysis and the Kolmogorov-Smirnov goodness-of-fit test. This investigation has shed new light on the cultural role of the geoglyphs in ancient Nasca society. In this paper we present some recent results ofthe GIS-based analysis of the Palpa geoglyphs, which is still underway. Furthermore, we discuss some general methodological issues of GIS applications in archaeology."
openalex,A data model for a GIS-based analysis of the Nasca lines at Palpa (Peru),2003,10.3929/ethz-a-004599145,Repository for Publications and Research Data (ETH Zurich),http://hdl.handle.net/20.500.11850/147650,http://hdl.handle.net/20.500.11850/147650,Karsten Lambers; Martin Sauerbier,0,"The famous Nasca lines and geoglyphs in the desert on the south coast of Peru are a constitutive part of the Nasca cultural landscape of the Early Intermediate Period (approx. 200 BC – AD 600). Vast desert zones, largely uninhabited and unused in other epochs, were marked and altered on a large scale according to the cultural concepts, needs and beliefs of the Nasca people. A study of the geoglyphs thus is expected to provide important insights into Nasca culture. Such an investigation requires a regional approach considering the geoglyphs and the landscape they are found in. Since 1997, in close cooperation between geodesists and archaeologists from Switzerland, Germany and Peru, a working scheme was devised and realized that allows for the first time the photogrammetric recording, 3D modeling, and GIS-based archaeological analysis of the geoglyphs of Palpa, in the northern part of the Nasca region, where more than 1 500 geoglyphs cover the ridges and plateaus of the desert. The ch..."
openalex,Context Matters: GIS-Based Spatial Analysis of the Nasca Geoglyphs of Palpa,2009,10.1007/978-3-540-87438-6_19,Natural science in archaeology,https://doi.org/10.1007/978-3-540-87438-6_19,,Karsten Lambers; Martin Sauerbier,0,
