provider,title,year,doi,source,landing_page_url,pdf_url,authors,coordinate_mentions,abstract_excerpt
openalex,"The First Field Season of Excavations at the Alto del Molino Site, Pisco Valley, Peru",1997,10.1179/jfa.1997.24.4.441,Journal of Field Archaeology,https://doi.org/10.1179/jfa.1997.24.4.441,,Helaine Silverman,0,"AbstractLittle archaeological fieldwork has been conducted in the Pisco Valley on the south coast of Peru and Pisco has long been regarded as inconsequential in the cultural dynamics of the region's prehistory. Yet a critical review of the literature and, especially, the results of recent excavations at the Alto del Molino site reveal that Pisco played an important role in the development of social complexity on the south coast at the end of the Early Horizon (ca. 300–1 B.C.) through the early Early Intermediate Period (ca. A.C. 1–300). The Pisco Valley is part of the larger context of the great cemeteries of the nearby, desolate Paracas Peninsula and the valley contributes to our understanding of those elaborate mortuary phenomena. In addition, a major regional culture called Carmen flourished in Pisco following the abandonment of the Paracas cemeteries and contemporary Pisco Valley sites. Carmen is contemporary with early Nasca culture of the Ica and Nazca valleys to the south and..."
openalex,The Phytogeography and Ecology of the Coastal Atacama and Peruvian Deserts,1991,10.5642/aliso.19911301.02,Aliso,https://doi.org/10.5642/aliso.19911301.02,https://scholarship.claremont.edu/cgi/viewcontent.cgi?article=1382&context=aliso,Philip W. Rundel; Michael O. Dillon; Beatriz Palma; Harold A. Mooney; S. L. Gulmon; James R. Ehleringer,0,"The Atacama and Peruvian Deserts form a continuous belt for more than 3500 km along the western escarpment of the Andes from northern Peru to northernmost Chile. These arid environments are due to a climatic regime dominated by the cool, north-flowing Humboldt (Peruvian) Current. Atmospheric conditions influenced by a stable, subtropical anticyclone result in a mild, uniform coastal climate nearly devoid of rain, but with the regular formation of thick stratus clouds below I 000 m during the winter months. Where coastal topography is low and flat, the clouds dissipate inward over broad areas with little biological impact. However, where isolated mountains or steep coastal slopes intercept the clouds, a fog-zone develops. This moisture allows the development of plant communities termed lomas formations. These floristic assemblages function as islands separated by hyperarid habitat devoid of plant life. Since growth is dependent upon available moisture, an understanding of climatic pa..."
openalex,"Isotopes, Inc. Radiocarbon Measurements V",1966,10.1017/s0033822200000102,Radiocarbon,https://doi.org/10.1017/s0033822200000102,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/93E6C8F3F1EE10A0B20EC7621C2E9493/S0033822200000102a.pdf/div-class-title-isotopes-inc-radiocarbon-measurements-v-div.pdf,Milton A. Trautman; E. H. Willis,0,"This list presents dates on samples measured at Isotopes, Inc., during the years 1963 to 1965 and measurements made previously for which sample data has been recently received. The many results which do not appear are withheld pending additional information or at the request of our clients."
openalex,Prehistoric tuberculosis in America: adding comments to a literature review,2003,10.1590/s0074-02762003000900023,Memórias do Instituto Oswaldo Cruz,https://doi.org/10.1590/s0074-02762003000900023,https://www.scielo.br/j/mioc/a/CTnNdm7yYXrXC9yjRvwTfsp/?lang=en&format=pdf,Jordi Gómez i Prat; Sheila MF Mendonça de Souza,0,"Tuberculosis is a prehistoric American human disease. This paper reviews the literature and discusses hypotheses for origins and epidemiological patterns of prehistoric tuberculosis. From the last decades, 24 papers about prehistoric tuberculosis were published and 133 cases were reviewed. In South America most are isolated case studies, contrary to North America where more skeletal series were analyzed. Disease was usually located at the deserts of Chile and Peru, Central Plains in USA, and Lake Ontario in Canada. Skeletal remains represent most of the cases, but 16 mummies have also been described. Thirty individuals had lung disease, 19 of them diagnosed by the ribs. More then 100 individuals had osseous tuberculosis and 26 also had it in other organs. As today, transmission of the infection and establishment of the disease were favored by cultural and life-style changes such as sedentarization, crowding, undernutrition, use of dark and insulated houses, and by the frequency of i..."
openalex,Andean culture history,1949,10.5962/bhl.title.68334,American Museum of Natural History eBooks,https://doi.org/10.5962/bhl.title.68334,https://www.biodiversitylibrary.org/itempdf/136409,Wendell C. Bennett; Junius B. Bird,0,"ological history of Peru through extended field exeavation, that the plan for joint authorship was abandoned."
openalex,Refining the Maritime Foundations of Andean Civilization: How Plant Fiber Technology Drove Social Complexity During the Preceramic Period,2017,10.1007/s10816-017-9341-3,Journal of Archaeological Method and Theory,https://doi.org/10.1007/s10816-017-9341-3,https://link.springer.com/content/pdf/10.1007%2Fs10816-017-9341-3.pdf,David Beresford‐Jones; Alexander Pullen; George Chauca; Lauren Cadwallader; María del Carmen García García; Isabel Salvatierra; Oliver Q. Whaley; Víctor Vásquez; Susana Arce; Kevin Lane; Charles French,0,"Moseley's (1975) <i>Maritime Foundations of Andean Civilization</i> hypothesis challenges, in one of humanity's few pristine hearths of civilization, the axiom that agriculture is necessary for the rise of complex societies. We revisit that hypothesis by setting new findings from La Yerba II (7571-6674 Cal bp) and III (6485-5893 Cal bp), Río Ica estuary, alongside the wider archaeological record for the end of the Middle Preceramic Period on the Peruvian coast. The La Yerba record evinces increasing population, sedentism, and ""Broad Spectrum Revolution"" features, including early horticulture of <i>Phaseolus</i> and <i>Canavalia</i> beans. Yet unlike further north, these changes failed to presage the florescence of monumental civilization during the subsequent Late Preceramic Period. Instead, the south coast saw a profound ""archaeological silence."" These contrasting trajectories had little to do with any relative differences in <i>marine</i> resources, but rather to restrictions on t..."
openalex,An osteological study of Nasca trophy heads collected by A.L. Kroeber during the Marshall Field Expeditions to Peru,2011,10.5962/bhl.title.5292,Bulletin of Miscellaneous Information (Royal Gardens Kew),http://archive.org/details/osteologicalstud33will,,Sloan R. Williams; Kathleen Forgey; Elizabeth Klarich,0,
openalex,¿Hacia un urbanismo paracas en Ánimas Altas/Ánimas Bajas (valle de Ica)?,2013,10.18800/boletindearqueologiapucp.201301.008,Boletín de Arqueología PUCP,https://doi.org/10.18800/boletindearqueologiapucp.201301.008,https://revistas.pucp.edu.pe/index.php/boletindearqueologia/article/download/14445/15059,Ai͏̈cha Bachir Bacha; Daniel Llanos,0,"Desde 2009, en el marco del Programa Arqueológico Ánimas Altas, Ica, Perú, bajo la dirección de los autores, se realizan exca-vaciones sistemáticas en el complejo arqueológico Ánimas Altas/Ánimas Bajas, principal establecimiento paracas en el valle bajode Ica. Hasta la fecha, se han documentado áreas público-ceremoniales, y otras de carácter doméstico y/o de producción. Además,las excavaciones han revelado secciones de complejos piramidales contiguos a plazas, una pequeña pirámide que albergaba unatumba de élite asociada a un friso mural y vestigios de viviendas y áreas de almacenaje.En el presente artículo, sobre la base de los datos proporcionados por las recientes excavaciones, intentamos aproximarnos al tipo de establecimiento que habría sido Ánimas. Se enfatizan los análisis de la cultura material para alimentar la reflexión sobre la noción de la ciudad y del territorio en los Andes, y enriquecer la problemática del urbanismo prehispánico, tema muy debatido en el Perú. Asimismo..."
openalex,Tiwanaku en Moquegua: las colonias altiplánicas,2001,10.18800/boletindearqueologiapucp.200101.006,Boletín de Arqueología PUCP,https://doi.org/10.18800/boletindearqueologiapucp.200101.006,https://revistas.pucp.edu.pe/index.php/boletindearqueologia/article/download/2415/2367,Paul Goldstein; B. D. OWEN,0,"Las investigaciones en Moquegua han demostrado la presencia de dos diferentes oleadas de colonización tiwanaku provenientes del altiplano durante el Horizonte Media. Ambas colonias tiwanaku siguieron y, por último, reemplazaron a la tradición Huaracane, una sustancial ocupación indígena del Periodo Formativo en el valle medio de Moquegua. Las ubicaciones de los sitios, patrones de asentamiento, tradiciones funerarias y domésticas, y biología ósea tiwanaku difieren significativamente de aquellos huaracane, indicando orígenes y etnicidad distintos. Dentro de las colonias tiwanaku en Moquegua se distinguían los asentamientos de dos grupos distintos sobre la base de la cerámica de los estilos Omo y Chen Chen. Los colonos tiwanaku del estilo Omo llegaron primero, pero diversas aldeas, usando cada estilo, coexistieron a través del valle por siglos. Esto parece representar a colonias provenientes de diversas etnias o parcialidades dentro de la cultura Tiwanaku. Los colonos tiwanaku mantuvi..."
openalex,A Chronology of the Pre-Columbian Paracas and Nasca Cultures in South Peru Based on AMS <sup>14</sup>C Dating,2007,10.1017/s0033822200042466,Radiocarbon,https://doi.org/10.1017/s0033822200042466,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/B201208B6ACF92EE733DD7976D5FACD2/S0033822200042466a.pdf/div-class-title-a-chronology-of-the-pre-columbian-paracas-and-nasca-cultures-in-south-peru-based-on-ams-span-class-sup-14-span-c-dating-div.pdf,Ingmar Unkel; Bernd Kromer; Markus Reindel; Lukas Wacker; Günther A. Wagner,0,"The people of the Paracas and Nasca cultures, the creators of the famous geoglyphs, lived in the desert of the southern coast of Peru between about 800 BC and AD 650. The archaeological chronology of these cultures has been based almost exclusively on a sequence of ceramic styles. The absolute dating of some of the style phases was supported by a few radiocarbon dates (Rowe 1967). Here, we present an absolute chronology of the Paracas and Nasca cultures based on 14 C dating of more than 100 organic samples from settlement and tomb relics, as well as on material derived from geoglyph sites in the Nasca/Palpa region (south Peru). The main focus has been on Nasca period settlement centers near Palpa, Los Molinos and La Muña, the Paracas period site of Jauranga, and the Initial period site of Pernil Alto. Most of the 14 C samples were dated at the accelerator mass spectrometry (AMS) facility of the ETH Zurich (Switzerland). The targets were produced in the newly built graphitization lin..."
openalex,Andean culture history,1960,10.5962/bhl.title.68283,American Museum of Natural History eBooks,https://doi.org/10.5962/bhl.title.68283,https://www.biodiversitylibrary.org/itempdf/136292,Wendell C. Bennett; Junius B. Bird,0,Paracas Cavernas ceramic style of the Experimenter Portail The Pucara style tube or trumpet at the left has fired pigments in the incised
openalex,Landscape alteration and prehistoric human occupation on the north coast of Peru,1983,10.5962/p.330763,Annals of Carnegie Museum,https://doi.org/10.5962/p.330763,https://www.biodiversitylibrary.org/partpdf/330763,Daniel H. Sandweiss; Harold B. Rollins; James B. Richardson,0,"A series of uplifted bays and former shorelines in the Chimbote region are discussed in relation to tectonic uplift during the Peruvian preceramic period. The molluscan fauna from a series of these preceramic sites are warm-water species, which the authors interpret as evidence for a warm-water current prior to 5000 B.P. This indicates that the east Pacific Ocean currents were markedly different from the modern current patterns. This date has a major implications for the pre-5000 B.P. climate of the north coast of Peru."
openalex,"Bodies of evidence : human decapitation during the early intermediate period in the Acari Valley, south coast, Peru",2011,10.14288/1.0058405,Open Collections,https://doi.org/10.14288/1.0058405,,Craig Preston Smith,0,"The Nasca, who occupied parts of the Peruvian south coast during the Early Intermediate Period (EIP; ca. A.D. 1-750), are famous for their immense ground drawings, elaborate textiles, and attractive polychrome pottery. They are also well-known for their practice of collecting and modifying human heads. Caches of these well-preserved, and often mummified, ""trophy"" heads have been found by archaeologists working in the valleys of the Rio Grande de Nazca drainage, once the heartland of Nasca society. Based on the contexts in which they are found, as well as their depiction in the iconography of the Nasca and earlier Paracas culture (ca. 800 B.C. - A.D. 1), the heads have come to be seen as important ideological symbols, which were likely incorporated in rituals centered on themes of water, fertility, and regeneration. While the interpretation of the ritual purpose of Nasca ""trophy"" heads is widely accepted, the nature and context in which the heads were obtained is the subject of much ..."
openalex,"High Resolution Drone Surveying of the Pista Geoglyph in Palpa, Peru",2018,10.3390/geosciences8120479,Geosciences,https://doi.org/10.3390/geosciences8120479,https://www.mdpi.com/2076-3263/8/12/479/pdf?version=1544694681,Karel Pavelka; Jaroslav Šedina; Eva Matoušková,0,"Currently, satellite images can be used to document historical or archaeological sites in areas that are distant, dangerous, or expensive to visit, and they can be used instead of basic fieldwork in several cases. Nowadays, they have final resolution on 35–50 cm, which can be limited for searching of fine structures. Results using the analysis of very high resolution (VHR) satellite data and super resolution data from drone on an object nearby Palpa, Peru are discussed in this article. This study is a part of Nasca project focused on using satellite data for documentation and the analysis of the famous geoglyphs in Peru near Palpa and Nasca, and partially on the documentation of other historical objects. The use of drone shows advantages of this technology to achieve high resolution object documentation and analysis, which provide new details. The documented site was the “Pista” geoglyph. Discovering of unknown geoglyphs (a bird, a guinea pig, and other small drawings) was quite sig..."
openalex,Andean culture history,1964,10.5962/bhl.title.68339,,https://doi.org/10.5962/bhl.title.68339,https://www.biodiversitylibrary.org/itempdf/136416,Wendell C. Bennett; Junius B. Bird,0,"He graduated from the University of Chicago in 1927, receiving his M.A. and Ph.D"
openalex,Towards the use of artificial intelligence deep learning networks for detection of archaeological sites,2022,10.1088/2051-672x/ac9492,Surface Topography Metrology and Properties,https://doi.org/10.1088/2051-672x/ac9492,https://iopscience.iop.org/article/10.1088/2051-672X/ac9492/pdf,Alexandra Karamitrou; Fraser Sturt; Petros Bogiatzis; David Beresford‐Jones,0,"Abstract While remote sensing data have long been widely used in archaeological prospection over large areas, the task of examining such data is time consuming and requires experienced and specialist analysts. However, recent technological advances in the field of artificial intelligence (AI), and in particular deep learning methods, open possibilities for the automated analysis of large areas of remote sensing data. This paper examines the applicability and potential of supervised deep learning methods for the detection and mapping of different kinds of archaeological sites comprising features such as walls and linear or curvilinear structures of different dimensions, spectral and geometrical properties. Our work deliberately uses open-source imagery to demonstrate the accessibility of these tools. One of the main challenges facing AI approaches has been that they require large amounts of labeled data to achieve high levels of accuracy so that the training stage requires significan..."
openalex,CAMBIO CLIMÁTICO Y PATRONES DE ASENTAMIENTO EN LA VERTIENTE OCCIDENTAL DE LOS ANDES DEL SUR DEL PERÚ,2013,10.4067/s0719-26812013000100006,Diálogo andino,https://doi.org/10.4067/s0719-26812013000100006,http://www.scielo.cl/pdf/rda/n41/art06.pdf,Markus Reindel; Johny Isla,0,Climate Change and settlement patterns at the western slope of the andes in southern peru markus reindel * y Johny isla
