provider,title,year,doi,source,landing_page_url,pdf_url,authors,coordinate_mentions,abstract_excerpt
openalex,Integrated Remote Sensing Approach in Cahuachi (Peru): Studies and Results of the ITACA Mission (2007–2010),2011,10.1007/978-90-481-8801-7_14,Remote sensing and digital image processing,https://doi.org/10.1007/978-90-481-8801-7_14,,Nicola Masini; Rosa Lasaponara; Enzo Rizzo; Giuseppe Orefici,0,
openalex,Satellite and close range analysis for the surveillance and knowledge improvement of the Nasca geoglyphs,2019,10.1016/j.rse.2019.111447,Remote Sensing of Environment,https://doi.org/10.1016/j.rse.2019.111447,,Nicola Masini; Rosa Lasaponara,0,
openalex,"Interscalar Vehicles for an African Anthropocene: On Waste, Temporality, and Violence",2018,10.14506/ca33.1.05,Cultural Anthropology,https://doi.org/10.14506/ca33.1.05,https://journal.culanth.org/index.php/ca/article/download/ca33.1.05/54,Gabrielle Hecht,0,"How can we incorporate humanist critiques of the Anthropocene while harnessing the notion’s potential for challenging political imagination? Placing the Anthropocene offers one way forward; the notion of an African Anthropocene offers a productive paradox that holds planetary temporality and specific human lives in a single frame. Navigating the Anthropocene from Africa requires attending to scale both as an analytic and an actor category. In order to do so, this essay proposes the notion of interscalar vehicles: objects and modes of analysis that permit scholars and their subjects to move simultaneously through deep time and human time, through geological space and political space. This essay discusses the creation and destruction of value/waste and pasts/futures around a uranium mine in Mounana, Gabon, to unpack the political, ethical, epistemological, and affective dimensions of interscalar vehicles and their violent Anthropocenic implications."
openalex,GIS-based management and analysis of the geoglyphs in the Palpa region,2009,10.3929/ethz-a-005940066,Repository for Publications and Research Data (ETH Zurich),http://hdl.handle.net/20.500.11850/20984,http://hdl.handle.net/20.500.11850/20984,Martin Sauerbier,0,"This dissertation results from the work conducted by the author within the frame of the Nasca-Palpa project at the chair of photogrammetry and remote sensing of ETH Zurich. The work presented here reports on the work conducted at ETH Zurich during the Nasca/Palpa project with the focus on the investigation of the geoglyphs, also known as the lines, in the Palpa area. This thesis covers basically two main parts: Photogrammetric data acquisition, processing and geoglyph reconstruction for the Palpa region and the Pampa de and GIS-based management and analysis of the generated data, primarily for the geoglyphs of Palpa. The motivation behind this work was the need for suitable data management and analysis methods demanded by the involved archaeologists to enable a quantitative study of the spatial characteristics of the geoglyphs and the surrounding landscape in order to better understand the social and cultural meaning of the geoglyphs. Aside from the geoglyphs, a second class of figu..."
openalex,"Integrating Remote Sensing, Machine Learning, and Citizen Science in Dutch Archaeological Prospection",2019,10.3390/rs11070794,Remote Sensing,https://doi.org/10.3390/rs11070794,https://www.mdpi.com/2072-4292/11/7/794/pdf?version=1554349755,Karsten Lambers; Wouter Verschoof‐van der Vaart; Quentin Bourgeois,0,"Although the history of automated archaeological object detection in remotely sensed data is short, progress and emerging trends are evident. Among them, the shift from rule-based approaches towards machine learning methods is, at the moment, the cause for high expectations, even though basic problems, such as the lack of suitable archaeological training data are only beginning to be addressed. In a case study in the central Netherlands, we are currently developing novel methods for multi-class archaeological object detection in LiDAR data based on convolutional neural networks (CNNs). This research is embedded in a long-term investigation of the prehistoric landscape of our study region. We here present an innovative integrated workflow that combines machine learning approaches to automated object detection in remotely sensed data with a two-tier citizen science project that allows us to generate and validate detections of hitherto unknown archaeological objects, thereby contributi..."
openalex,COSMO-SkyMed SAR for Detection and Monitoring of Archaeological and Cultural Heritage Sites,2019,10.3390/rs11111326,Remote Sensing,https://doi.org/10.3390/rs11111326,https://www.mdpi.com/2072-4292/11/11/1326/pdf?version=1559473097,Deodato Tapete; Francesca Cigna,0,"Synthetic aperture radar (SAR) imagery has long been used in archaeology since the earliest space radar missions in the 1980s. In the current scenario of SAR missions, the Italian Space Agency (ASI)’s COnstellation of small Satellites for Mediterranean basin Observation (COSMO-SkyMed) has peculiar properties that make this mission of potential use by archaeologists and heritage practitioners: high to very high spatial resolution, site revisit of up to one day, and conspicuous image archives over cultural heritage sites across the globe. While recent literature and the number of research projects using COSMO-SkyMed data for science and applied research suggest a growing interest in these data, it is felt that COSMO-SkyMed still needs to be further disseminated across the archaeological remote sensing community. This paper therefore offers a portfolio of use-cases that were developed in the last two years in the Scientific Research Unit of ASI, where COSMO-SkyMed data were analysed to..."
openalex,Comparison of DSMs generated from mini UAV imagery and terrestrial laser scanner in a cultural heritage application,2006,10.3929/ethz-b-000158047,Repository for Publications and Research Data (ETH Zurich),http://hdl.handle.net/20.500.11850/158047,http://hdl.handle.net/20.500.11850/158047,Henri Eisenbeiss; Li Zhang,0,"In this paper we present two different methods, which were applied for the DSM generation of the cultural heritage site Pinchango Alto. The area of interest is a LIP (Late Intermediate Period; 1400 AD) settlement, situated 400 km in the south of the capital of Peru (Lima) close by the famous Geoglyphs of Nasca. The site was recorded using a terrestrial laser scanner (Riegl LMS-Z420i) and a mini UAV-system (Unmanned Aerial Vehicle) under the framework of a research program called NTG (“New methods and technologies in the humanities”). During the field work, using both methods, the complete settlement was documented in a short time. The post-processing of the data was done by use of in-house developed software packages. The image data (UAV) were oriented and a DSM (10 cm resolution) was generated automatically using a multi-image matching approach. For the registration of the single laser scans a surface matcher rather than the special targets was used. As a product of the laser data ..."
openalex,"The origins of Amazonian landscapes: Plant cultivation, domestication and the spread of food production in tropical South America",2020,10.1016/j.quascirev.2020.106582,Quaternary Science Reviews,https://doi.org/10.1016/j.quascirev.2020.106582,,José Iriarte; Sarah Elliott; S. Yoshi Maezumi; Daiana Travassos Alves; Regina Gonda; Mark Robinson; Jonas Gregório de Souza; Jennifer Watling; Josephine Handley,0,
openalex,Trends and perspectives of space-borne SAR remote sensing for archaeological landscape and cultural heritage applications,2016,10.1016/j.jasrep.2016.07.017,Journal of Archaeological Science Reports,https://doi.org/10.1016/j.jasrep.2016.07.017,https://ars.els-cdn.com/content/image/1-s2.0-S2352409X1630373X-fx1_lrg.jpg,Deodato Tapete; Francesca Cigna,0,
openalex,"Historical Human Footprint on Modern Tree Species Composition in the Purus-Madeira Interfluve, Central Amazonia",2012,10.1371/journal.pone.0048559,PLoS ONE,https://doi.org/10.1371/journal.pone.0048559,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0048559&type=printable,Carolina Levis; Priscila Figueira de Souza; Juliana Schietti; Thaíse Emilio; José Luiz Purri da Veiga Pinto; Charles R. Clément; Flávia R. C. Costa,0,"These results strongly suggest that past forest manipulation was not limited to the pre-Columbian settlements along major rivers, but extended over interfluvial areas considered to be primary forest today. The sustainable use of Amazonian forests will be most effective if it considers the degree of past landscape domestication, as human-modified landscapes concentrate useful plants for human sustainable use and management today."
