title,year,doi,pdf_url,lat,lon,format,match_text,context
Semi-automated detection of looting in Afghanistan using multispectral imagery and principal component analysis,2017,10.15184/aqy.2017.90,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/A649663703443DBAB767D434587BBB1C/S0003598X17000904a.pdf/div-class-title-semi-automated-detection-of-looting-in-afghanistan-using-multispectral-imagery-and-principal-component-analysis-div.pdf,10.49,12.1,decimal,10.49 12.10,at six archaeological sites. Site Average pit area (m 2) Average pit perimeter (m) Average circularity index Ai Khanoum 10.49 12.10 0.819904 Qarawal T epe 11.82 12.15 0.821235 Umma 3.38 6.79 0.674484 Isin 7.76 11.88 0.649762 Fifa 2.91 7.75 0.60010 Cah
Semi-automated detection of looting in Afghanistan using multispectral imagery and principal component analysis,2017,10.15184/aqy.2017.90,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/A649663703443DBAB767D434587BBB1C/S0003598X17000904a.pdf/div-class-title-semi-automated-detection-of-looting-in-afghanistan-using-multispectral-imagery-and-principal-component-analysis-div.pdf,11.82,12.15,decimal,11.82 12.15,verage pit area (m 2) Average pit perimeter (m) Average circularity index Ai Khanoum 10.49 12.10 0.819904 Qarawal T epe 11.82 12.15 0.821235 Umma 3.38 6.79 0.674484 Isin 7.76 11.88 0.649762 Fifa 2.91 7.75 0.60010 Cahuachi 7.05 9.68 0.835796 Applicatio
Semi-automated detection of looting in Afghanistan using multispectral imagery and principal component analysis,2017,10.15184/aqy.2017.90,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/A649663703443DBAB767D434587BBB1C/S0003598X17000904a.pdf/div-class-title-semi-automated-detection-of-looting-in-afghanistan-using-multispectral-imagery-and-principal-component-analysis-div.pdf,3.38,6.79,decimal,3.38 6.79,age pit perimeter (m) Average circularity index Ai Khanoum 10.49 12.10 0.819904 Qarawal T epe 11.82 12.15 0.821235 Umma 3.38 6.79 0.674484 Isin 7.76 11.88 0.649762 Fifa 2.91 7.75 0.60010 Cahuachi 7.05 9.68 0.835796 Application of the method to Ai Kh
Semi-automated detection of looting in Afghanistan using multispectral imagery and principal component analysis,2017,10.15184/aqy.2017.90,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/A649663703443DBAB767D434587BBB1C/S0003598X17000904a.pdf/div-class-title-semi-automated-detection-of-looting-in-afghanistan-using-multispectral-imagery-and-principal-component-analysis-div.pdf,7.76,11.88,decimal,7.76 11.88,"erage circularity index Ai Khanoum 10.49 12.10 0.819904 Qarawal T epe 11.82 12.15 0.821235 Umma 3.38 6.79 0.674484 Isin 7.76 11.88 0.649762 Fifa 2.91 7.75 0.60010 Cahuachi 7.05 9.68 0.835796 Application of the method to Ai Khanoum, Afghanistan The hi"
Semi-automated detection of looting in Afghanistan using multispectral imagery and principal component analysis,2017,10.15184/aqy.2017.90,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/A649663703443DBAB767D434587BBB1C/S0003598X17000904a.pdf/div-class-title-semi-automated-detection-of-looting-in-afghanistan-using-multispectral-imagery-and-principal-component-analysis-div.pdf,2.91,7.75,decimal,2.91 7.75,"i Khanoum 10.49 12.10 0.819904 Qarawal T epe 11.82 12.15 0.821235 Umma 3.38 6.79 0.674484 Isin 7.76 11.88 0.649762 Fifa 2.91 7.75 0.60010 Cahuachi 7.05 9.68 0.835796 Application of the method to Ai Khanoum, Afghanistan The history of looting in Afgh"
Semi-automated detection of looting in Afghanistan using multispectral imagery and principal component analysis,2017,10.15184/aqy.2017.90,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/A649663703443DBAB767D434587BBB1C/S0003598X17000904a.pdf/div-class-title-semi-automated-detection-of-looting-in-afghanistan-using-multispectral-imagery-and-principal-component-analysis-div.pdf,7.05,9.68,decimal,7.05 9.68,"904 Qarawal T epe 11.82 12.15 0.821235 Umma 3.38 6.79 0.674484 Isin 7.76 11.88 0.649762 Fifa 2.91 7.75 0.60010 Cahuachi 7.05 9.68 0.835796 Application of the method to Ai Khanoum, Afghanistan The history of looting in Afghanistan has remained unders"
A Chronology of the Pre-Columbian Paracas and Nasca Cultures in South Peru Based on AMS <sup>14</sup>C Dating,2007,10.1017/s0033822200042466,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/B201208B6ACF92EE733DD7976D5FACD2/S0033822200042466a.pdf/div-class-title-a-chronology-of-the-pre-columbian-paracas-and-nasca-cultures-in-south-peru-based-on-ams-span-class-sup-14-span-c-dating-div.pdf,3.31,-24.6,decimal,3.31 -24.60,"2 GP 13,800 -23.62 1737 20 260-400 AD PAP-79 wood 3 HD-23213 GP 7000 -24.64 1697 22 355^30 AD PAP-79 wood 4 ET154 AMS 3.31 -24.60 1620 49 420-540 AD PAP-79 wood 5 ET166 AMS 5.21 -23.30 1825 54 130-340 AD PAP-79 wood 6 83 HD-23091 GP 2790 -24.27 55"
A Chronology of the Pre-Columbian Paracas and Nasca Cultures in South Peru Based on AMS <sup>14</sup>C Dating,2007,10.1017/s0033822200042466,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/B201208B6ACF92EE733DD7976D5FACD2/S0033822200042466a.pdf/div-class-title-a-chronology-of-the-pre-columbian-paracas-and-nasca-cultures-in-south-peru-based-on-ams-span-class-sup-14-span-c-dating-div.pdf,5.21,-23.3,decimal,5.21 -23.30,23213 GP 7000 -24.64 1697 22 355^30 AD PAP-79 wood 4 ET154 AMS 3.31 -24.60 1620 49 420-540 AD PAP-79 wood 5 ET166 AMS 5.21 -23.30 1825 54 130-340 AD PAP-79 wood 6 83 HD-23091 GP 2790 -24.27 554 35 1404-1437 AD PAP-61 charcoal 7 ETI 22 AMS 5.6 -20.
A Chronology of the Pre-Columbian Paracas and Nasca Cultures in South Peru Based on AMS <sup>14</sup>C Dating,2007,10.1017/s0033822200042466,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/B201208B6ACF92EE733DD7976D5FACD2/S0033822200042466a.pdf/div-class-title-a-chronology-of-the-pre-columbian-paracas-and-nasca-cultures-in-south-peru-based-on-ams-span-class-sup-14-span-c-dating-div.pdf,3.86,-28.6,decimal,3.86 -28.60,"-27.71 3470 21 1750-1685 BC PAP-61 charcoal 9 90 HD-23977 GP 8600 -26.91 1512 14 560-640 AD PAP-64B wood 10 ET443 AMS 3.86 -28.60 1460 45 595-665 AD 11 109 HD-23978 GP 10,000 -25.21 1611 13 435-535 AD PAP-64A wood 12 112 HD-23621 GP 9580 -27.44 14"
A Chronology of the Pre-Columbian Paracas and Nasca Cultures in South Peru Based on AMS <sup>14</sup>C Dating,2007,10.1017/s0033822200042466,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/B201208B6ACF92EE733DD7976D5FACD2/S0033822200042466a.pdf/div-class-title-a-chronology-of-the-pre-columbian-paracas-and-nasca-cultures-in-south-peru-based-on-ams-span-class-sup-14-span-c-dating-div.pdf,4.33,-24.4,decimal,4.33 -24.40,"16 HD-23209 GP 10,400 -26.46 1744 16 260-390 AD PAP-79 wood 17 ET 124 AMS 5.7 -27.20 1620 40 430-540 AD 18 ET 163 AMS 4.33 -24.40 1745 54 250-410 AD 19 131 HD-23782 GP 6400 -26.37 1499 23 560-645 AD PAP-294 wood 20 133 HD-22851 GP 6700 -23.76 1705"
