provider,title,year,doi,source,landing_page_url,pdf_url,authors,coordinate_mentions,abstract_excerpt
openalex,"Combining photogrammetry and laser scanning for the recording and modelling of the Late Intermediate Period site of Pinchango Alto, Palpa, Peru",2007,10.1016/j.jas.2006.12.008,Journal of Archaeological Science,https://doi.org/10.1016/j.jas.2006.12.008,,Karsten Lambers; Henri Eisenbeiss; Martin Sauerbier; Denise Kupferschmidt; Thomas Gaisecker; Soheil Sotoodeh; Thomas Hanusch,0,
openalex,Early pre-Hispanic use of indigo blue in Peru,2016,10.1126/sciadv.1501623,Science Advances,https://doi.org/10.1126/sciadv.1501623,https://advances.sciencemag.org/content/advances/2/9/e1501623.full.pdf,Jeffrey Splitstoser; Tom D. Dillehay; Jan Wouters; Ana Claro,0,"Archaeological research has identified the use of cultivated cotton (Gossypium barbadense) in the ancient Andes dating back to at least 7800 years ago. Because of unusual circumstances of preservation, 6000-year-old cotton fabrics from the Preceramic site of Huaca Prieta on the north coast of Peru retained traces of a blue pigment that was analyzed and positively identified as an indigoid dye (indigotin), making it the earliest known use of indigo in the world, derived most likely from Indigofera spp. native to South America. This predates by ~1500 years the earliest reported use of indigo in the Old World, from Fifth Dynasty Egypt [ca. 4400 BP (before present)]. Indigo is one of the most valued and most globally widespread dyes of antiquity and of the present era (it being the blue of blue jeans)."
openalex,"Differences in <sup>14</sup>C Age Between Stratigraphically Associated Charcoal and Marine Shell from the Archaic Period Site of Kilometer 4, Southern Peru: Old Wood or Old Water?",2002,10.1017/s0033822200064663,Radiocarbon,https://doi.org/10.1017/s0033822200064663,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/0331EDDD7002D686BBDDEA7372F5CAC4/S0033822200064663a.pdf/div-class-title-differences-in-span-class-sup-14-span-c-age-between-stratigraphically-associated-charcoal-and-marine-shell-from-the-archaic-period-site-of-kilometer-4-southern-peru-old-wood-or-old-water-div.pdf,Douglas J. Kennett; B. Lynn Ingram; John Southon; Karen Wise,0,"Consistently large differences occur in the calibrated 14 C ages of stratigraphically associated shell and charcoal samples from Kilometer 4, an Archaic Period archaeological site located on the extreme south coast of Peru. A series of nine shell and charcoal samples were collected from a Late Archaic Period (~6000–4000 BP) sector of the site. After calibration, the intercepts of the charcoal dates were ~100–750 years older than the paired shell samples. Due to the hyper-arid conditions in this region that promote long-term preservation of organic material, we argue that the older charcoal dates are best explained by people using old wood for fuel during the Middle Holocene. Given this “old wood” problem, marine shell may actually be preferable to wood charcoal for dating archaeological sites in coastal desert environments as in southern Peru and Northern Chile."
openalex,Variation in Holocene El Niño frequencies: Climate records and cultural consequences in ancient Peru,2001,10.1130/0091-7613(2001)029<0603:viheno>2.0.co;2,Geology,https://doi.org/10.1130/0091-7613(2001)029<0603:viheno>2.0.co;2,,Daniel H. Sandweiss; Kirk A. Maasch; Richard L. Burger; James B. Richardson; Harold B. Rollins; Amy Clement,0,"Research Article| July 01, 2001 Variation in Holocene El Niño frequencies: Climate records and cultural consequences in ancient Peru Daniel H. Sandweiss; Daniel H. Sandweiss 1Department of Anthropology and Institute for Quaternary Studies, South Stevens Hall, University of Maine, Orono, Maine 04469, USA Search for other works by this author on: GSW Google Scholar Kirk A. Maasch; Kirk A. Maasch 2Department of Geological Sciences and Institute for Quaternary Studies, Bryand Global Sciences Center, University of Maine, Orono, Maine 04469, USA Search for other works by this author on: GSW Google Scholar Richard L. Burger; Richard L. Burger 3Peabody Museum of Natural History and Department of Anthropology, 170 Whitney Avenue, Yale University, New Haven, Connecticut 06520, USA Search for other works by this author on: GSW Google Scholar James B. Richardson, III; James B. Richardson, III 4Section of Anthropology, O'Neil Research Center, Carnegie Museum of Natural History, 5800 Baum Bouleva..."
openalex,"Archaeological Explorations in Southern Peru, 1954–1955",1956,10.2307/276816,American Antiquity,https://doi.org/10.2307/276816,,John Howland Rowe,0,"From March, 1954, through the whole of the year 1955 the University of California at Berkeley sponsored a program of archaeological field work in southern Peru and related studies in museums of the United States. In Peru the expedition worked out of 2 bases, one at Cuzco in the highlands and the other at lea on the south coast. It was concerned primarily with archaeological survey and exploration, although excavations were also made at 2 Inca period sites in the coastal area studied. The expedition staff consisted of John H. Rowe, Director, Dorothy Menzel (Mrs. Francis A. Riddell), Francis A. Riddell, Dwight T. Wallace, Lawrence E. Dawson, and David A. Robinson."
openalex,"A late pleistocene human presence at Huaca Prieta, Peru, and early Pacific Coastal adaptations",2012,10.1016/j.yqres.2012.02.003,Quaternary Research,https://doi.org/10.1016/j.yqres.2012.02.003,,Tom D. Dillehay; Duccio Bonavía; S. L. Goodbred; Mario Pino; Víctor Vásquez; Teresa E. Rosales Tham,0,"Archaeological excavations in deep pre-mound levels at Huaca Prieta in northern Peru have yielded new evidence of late Pleistocene cultural deposits that shed insights into the early human occupation of the Pacific coast of South America. Radiocarbon dates place this occupation between ~ 14,200 and 13,300 cal yr BP. The cultural evidence shares certain basic technological and subsistence traits, including maritime resources and simple flake tools, with previously discovered late Pleistocene sites along the Pacific coast of Peru and Chile. The results help to expand our knowledge of early maritime societies and human adaption to changing coastal environments."
openalex,The birth of El Niño: Geoarchaeological evidence and implications,1986,10.1002/gea.3340010102,Geoarchaeology,https://doi.org/10.1002/gea.3340010102,,Harold B. Rollins; James B. Richardson; Daniel H. Sandweiss,0,"Abstract The oceanographic phenomenon known as El Niño is the subject of intensive recent study. Any hypotheses regarding physical causes and predictability of El Niño should consider its geological history. New geoarchaeological evidence suggests that the El Niño phenomenon did not exist along the northern and central coasts of Peru before about 5000 years B.P. Molluscan faunas from archaeological sites at Pampa las Salinas and Salinas de Chao permit temporal bracketing of a major structural change in the East Pacific water mass. The boundary between the warm Panamic Province and the cold Peruvian Province, which today occurs at about 5 degrees south latitude, was some 500 km further south from at least 11,000 years B.P. to about 5000 years B.P. This conclusion is corroborated by many other lines of evidence including phosphorite distribution, timing of glacial retreat, sea level change, radiolarian, diatom and fish scale distributions, and beach ridge patterns. The present day ari..."
openalex,Re-evaluating the resource potential of lomas fog oasis environments for Preceramic hunter–gatherers under past ENSO modes on the south coast of Peru,2015,10.1016/j.quascirev.2015.10.025,Quaternary Science Reviews,https://doi.org/10.1016/j.quascirev.2015.10.025,,David Beresford‐Jones; Alexander Pullen; Oliver Q. Whaley; Justin Moat; George Chauca; Lauren Cadwallader; Susana Arce; Alfonso Orellana; Carmela Alarcón; Manuel Gorriti; Patricia Maita Agurto; Fraser Sturt; Agathe Dupeyron; Oliver Huamán; Kevin Lane; Charles French,0,"Lomas – ephemeral seasonal oases sustained by ocean fogs – were critical to ancient human ecology on the desert Pacific coast of Peru: one of humanity's few independent hearths of agriculture and “pristine” civilisation. The role of climate change since the Late Pleistocene in determining productivity and extent of past lomas ecosystems has been much debated. Here we reassess the resource potential of the poorly studied lomas of the south coast of Peru during the long Middle Pre-ceramic period (c. 8000–4500 BP): a period critical in the transition to agriculture, the onset of modern El Niño Southern Oscillation (‘ENSO’) conditions, and eustatic sea-level rise and stabilisation and beach progradation. Our method combines vegetation survey and herbarium collection with archaeological survey and excavation to make inferences about both Preceramic hunter–gatherer ecology and the changed palaeoenvironments in which it took place. Our analysis of newly discovered archaeological sites – an..."
openalex,Pampa Grande and the Mochica Culture,1994,10.7560/776746,University of Texas Press eBooks,https://doi.org/10.7560/776746,,泉 島田,0,"Pampa Grande and the Mochica Culture] demonstrates what archaeologists can achieve in terms of reading cultural meaning from the material record. . . . Clear, thoughtful, detailed, and balanced, it is one of the finest treatments of a prehistoric culture that I have ever read. -- Latin American Indian Literatures Journal In Shimada's elegantly illustrated, well argued and documented book, he undertakes the task of exploring the complex causes for the transition registered between Moche-IV and Moche-V, and for the rise and fall of the] last great Mochica civic experiment, Pampa Grande. But far more is offered, for Shimada embarked on a brilliant critical re-evaluation of what is known and still enigmatic about the long-lived Mochica cultural tradition in the Peruvian North Coast.... .Using a multidisciplinary approach Shimada weaves a richly patterned tapestry of Mochica prehistory. It is required reading for archaeologists interested in Latin America. -- Antiquity There is no work w..."
openalex,Diachronic Investigations of Mitochondrial and Y-Chromosomal Genetic Markers in Pre-Columbian Andean Highlanders from South Peru,2010,10.1111/j.1469-1809.2010.00620.x,Annals of Human Genetics,https://doi.org/10.1111/j.1469-1809.2010.00620.x,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1469-1809.2010.00620.x,Lars Fehren‐Schmitz; Ole Warnberg; Markus Reindel; Verena Seidenberg; Elsa Tomasto-Cagigao; Johny Isla-Cuadrado; Susanne Hummel; Bernd Herrmann,0,"This study examines the reciprocal effects of cultural evolution, and population dynamics in pre-Columbian southern Peru by the analysis of DNA from pre-Columbian populations that lived in the fringe area between the Andean highlands and the Pacific coast. The main objective is to reveal whether the transition from the Middle Horizon (MH: 650-1000 AD) to the Late Intermediate Period (LIP: 1000-1400 AD) was accompanied or influenced by population dynamic processes. Tooth samples from 90 individuals from several archaeological sites, dating to the MH and LIP, in the research area were collected to analyse mitochodrial, and Y-chromosomal genetic markers. Coding region polymorphisms were successfully analysed and replicated for 72 individuals, as were control region sequences for 65 individuals and Y-chromosomal single nucleotide polymorphisms (SNPs) for 19 individuals, and these were compared to a large set of ancient and modern indigenous South American populations. The diachronic com..."
openalex,"Isotopic evidence for Middle Horizon to 16th century camelid herding in the Osmore Valley, Peru",2010,10.1002/oa.1157,International Journal of Osteoarchaeology,https://doi.org/10.1002/oa.1157,,Erin Kennedy Thornton; Susan D. deFrance; John Krigbaum; Patrick Ryan Williams,0,"Abstract Archaeological and zooarchaeological data indicate that camelid pastoralism was a subsistence and economic mainstay of Middle Horizon and more recent cultures in the Osmore region of southern Peru. However, it is not known whether camelids were primarily herded in highland puna pastures or near lower elevation sites in the middle valley or along the coast. This research examines the elevation of archaeological camelid herding in the Osmore Valley using stable isotope analysis. Stable carbon (δ 13 C) and nitrogen (δ 15 N) isotope ratios were measured on 28 archaeological camelid bone samples from the Middle Horizon sites of Cerro Baúl and Cerro Mejía, the Late Intermediate site of Yaral and the late pre‐Hispanic to Colonial period site of Torata Alta. Twenty‐three archaeological camelids have δ 13 C and δ 15 N values similar to five modern camelids maintained in highland puna pastures. In contrast, three camelids from the high status Wari site of Cerro Baúl, and two from Yar..."
openalex,"PHOTOGRAMMETRIC DOCUMENTATION OF AN ARCHAEOLOGICAL SITE (PALPA, PERU) USING AN AUTONOMOUS MODEL HELICOPTER",2005,,KOPS (University of Konstanz),http://nbn-resolving.de/urn:nbn:de:bsz:352-0-253687,http://nbn-resolving.de/urn:nbn:de:bsz:352-0-253687,Henri Eisenbeiss; Karsten Lambers; Martin Sauerbier; Zhang Li,0,"In this paper we describe a new system for the recording of archaeological sites based on an autonomous UAV (unmanned aerial vehicle) that has recently been employed in the framework of the Nasca-Palpa Archaeological Project on the south coast of Peru. In the vicinity of Palpa, the prehispanic site of Pinchango Alto is an attractive, yet difficult target for archaeological research. On the one hand, its well preserved stone architecture, abundant surface finds, and richly furnished graves dating to the Late Intermediate Period (AD 1000-1400) offer many opportunities to study this still poorly understood pre-Inkaic period. On the other hand, access to and working on the site is rather difficult. The recording of the preserved surface remains therefore required a highly mobile and flexible documentation system. In the 2004 field campaign we used a model helicopter carrying a CMOS camera to acquire a series of vertical aerial images for a photogrammetric recording and 3D modeling of th..."
openalex,A Chronology of the Pre-Columbian Paracas and Nasca Cultures in South Peru Based on AMS <sup>14</sup>C Dating,2007,10.1017/s0033822200042466,Radiocarbon,https://doi.org/10.1017/s0033822200042466,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/B201208B6ACF92EE733DD7976D5FACD2/S0033822200042466a.pdf/div-class-title-a-chronology-of-the-pre-columbian-paracas-and-nasca-cultures-in-south-peru-based-on-ams-span-class-sup-14-span-c-dating-div.pdf,Ingmar Unkel; Bernd Kromer; Markus Reindel; Lukas Wacker; Günther A. Wagner,0,"The people of the Paracas and Nasca cultures, the creators of the famous geoglyphs, lived in the desert of the southern coast of Peru between about 800 BC and AD 650. The archaeological chronology of these cultures has been based almost exclusively on a sequence of ceramic styles. The absolute dating of some of the style phases was supported by a few radiocarbon dates (Rowe 1967). Here, we present an absolute chronology of the Paracas and Nasca cultures based on 14 C dating of more than 100 organic samples from settlement and tomb relics, as well as on material derived from geoglyph sites in the Nasca/Palpa region (south Peru). The main focus has been on Nasca period settlement centers near Palpa, Los Molinos and La Muña, the Paracas period site of Jauranga, and the Initial period site of Pernil Alto. Most of the 14 C samples were dated at the accelerator mass spectrometry (AMS) facility of the ETH Zurich (Switzerland). The targets were produced in the newly built graphitization lin..."
openalex,"IntCal09 and Marine09 Radiocarbon Age Calibration Curves, 0–50,000 Years cal BP",2009,10.1017/s0033822200034202,Radiocarbon,https://doi.org/10.1017/s0033822200034202,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/FB3ABE7B3D43ED9C34F621CBC4975100/S0033822200034202a.pdf/div-class-title-intcal09-and-marine09-radiocarbon-age-calibration-curves-0-50-000-years-cal-bp-div.pdf,Paula Reimer; M. G. L. Baillie; Édouard Bard; Alex Bayliss; J Warren Beck; Paul G. Blackwell; Christopher Bronk Ramsey; Caitlin E. Buck; George S. Burr; R. Lawrence Edwards; Michael Friedrich; Pieter Meiert Grootes; T. P. Guilderson; Irka Hajdas; Timothy Heaton; Alan Hogg; KA Hughen; Klaus Félix Kaiser; Bernd Kromer; F. G. McCormac; Sturt W. Manning; Ron Reimer; David A. Richards; John Southon; Sahra Talamo; Chris Turney; J. van der Plicht; C. E. Weyhenmeyer,0,"The IntCal04 and Marine04 radiocarbon calibration curves have been updated from 12 cal kBP (cal kBP is here defined as thousands of calibrated years before AD 1950), and extended to 50 cal kBP, utilizing newly available data sets that meet the IntCal Working Group criteria for pristine corals and other carbonates and for quantification of uncertainty in both the 14 C and calendar timescales as established in 2002. No change was made to the curves from 0–12 cal kBP. The curves were constructed using a Markov chain Monte Carlo (MCMC) implementation of the random walk model used for IntCal04 and Marine04. The new curves were ratified at the 20th International Radiocarbon Conference in June 2009 and are available in the Supplemental Material at www.radiocarbon.org ."
