site_name,source,source_url,latitude,longitude,source_file,site_type
#1 Antiguo mirador en una colina baja.,osm,https://www.openstreetmap.org/node/8477637862,-14.599391,-75.305662,osm_archeological_sites.geojson,mirador
#2 antiguo mirador en una colina baja.,osm,https://www.openstreetmap.org/node/8477637891,-14.602703,-75.305672,osm_archeological_sites.geojson,mirador
#3 Antiguo mirador en una colina baja.,osm,https://www.openstreetmap.org/node/8477637905,-14.608028,-75.304369,osm_archeological_sites.geojson,mirador
1000m,archaeogeodesy.org,,-15.147546,-65.977434,archaeogeodesy_peru.csv,
1002m,archaeogeodesy.org,,-15.000234,-64.485636,archaeogeodesy_peru.csv,
1002m,archaeogeodesy.org,,-15.391159,-65.812514,archaeogeodesy_peru.csv,
1003m,archaeogeodesy.org,,-9.163535,-67.222704,archaeogeodesy_peru.csv,
1003m,archaeogeodesy.org,,-9.163734,-67.222495,archaeogeodesy_peru.csv,
1004m,archaeogeodesy.org,,-14.811504,-64.363091,archaeogeodesy_peru.csv,
1004m,archaeogeodesy.org,,-15.546448,-65.771660,archaeogeodesy_peru.csv,
1005m,archaeogeodesy.org,,-15.047670,-64.420929,archaeogeodesy_peru.csv,
1005m,archaeogeodesy.org,,-14.867129,-66.269251,archaeogeodesy_peru.csv,
1005m,archaeogeodesy.org,,-8.870265,-67.025051,archaeogeodesy_peru.csv,
1006m,archaeogeodesy.org,,-14.854540,-65.566902,archaeogeodesy_peru.csv,
1006m,archaeogeodesy.org,,-15.088170,-64.731747,archaeogeodesy_peru.csv,
1006m,archaeogeodesy.org,,-14.813505,-64.367482,archaeogeodesy_peru.csv,
1007m,archaeogeodesy.org,,-15.180800,-65.476371,archaeogeodesy_peru.csv,
1008m,archaeogeodesy.org,,-15.163335,-65.811014,archaeogeodesy_peru.csv,
1008m,archaeogeodesy.org,,-14.464563,-66.525295,archaeogeodesy_peru.csv,
1008m,archaeogeodesy.org,,-9.615258,-67.368896,archaeogeodesy_peru.csv,
1009m,archaeogeodesy.org,,-14.213588,-65.420186,archaeogeodesy_peru.csv,
100m,archaeogeodesy.org,,-15.069666,-63.974826,archaeogeodesy_peru.csv,
100m,archaeogeodesy.org,,-14.135705,-64.423570,archaeogeodesy_peru.csv,
100m,archaeogeodesy.org,,-15.024514,-64.391600,archaeogeodesy_peru.csv,
100m,archaeogeodesy.org,,-15.090565,-65.810279,archaeogeodesy_peru.csv,
100m,archaeogeodesy.org,,-10.263803,-67.063292,archaeogeodesy_peru.csv,
100m,archaeogeodesy.org,,-9.175484,-67.203426,archaeogeodesy_peru.csv,
100m,archaeogeodesy.org,,-9.095186,-67.249133,archaeogeodesy_peru.csv,
100m,archaeogeodesy.org,,-10.875189,-69.388933,archaeogeodesy_peru.csv,
100m,archaeogeodesy.org,,-10.341651,-67.791359,archaeogeodesy_peru.csv,
100m,archaeogeodesy.org,,-11.278109,-69.029233,archaeogeodesy_peru.csv,
100m,archaeogeodesy.org,,-9.921658,-67.165555,archaeogeodesy_peru.csv,
100m,archaeogeodesy.org,,-9.128334,-67.281492,archaeogeodesy_peru.csv,
