global_rank,mgrs_1km,mgrs_compact,region,tier,composite_score,gap_score,river_score,density_score,nearest_site_km,nearest_river_km,lat_center,lon_center
1,19L AF 79 04,19LAF7904,Highlands — Cusco / Inca Heartland,Tier 1 — High Priority,0.8134,0.9236,0.8544,0.9724,0.5,2.91,-13.508,-71.956
2,19L AF 79 03,19LAF7903,Highlands — Cusco / Inca Heartland,Tier 1 — High Priority,0.809,0.899,0.8694,0.9787,0.81,2.61,-13.517,-71.956
3,18L YL 66 44,18LYL6644,Highlands — Cusco / Inca Heartland,Tier 1 — High Priority,0.7781,0.7699,0.9486,0.8114,0.51,1.03,-13.157,-72.541
4,19L AF 78 05,19LAF7805,Highlands — Cusco / Inca Heartland,Tier 1 — High Priority,0.7754,0.8468,0.8581,0.9138,0.73,2.84,-13.499,-71.965
5,18L YL 65 42,18LYL6542,Highlands — Cusco / Inca Heartland,Tier 1 — High Priority,0.7637,0.7546,0.9168,0.8199,0.8,1.66,-13.175,-72.55
6,18L YL 67 42,18LYL6742,Highlands — Cusco / Inca Heartland,Tier 1 — High Priority,0.7622,0.7813,0.872,0.8328,0.62,2.56,-13.175,-72.532
7,19L AF 80 04,19LAF8004,Highlands — Cusco / Inca Heartland,Tier 1 — High Priority,0.753,0.8378,0.8099,0.8885,0.57,3.8,-13.508,-71.947
8,18L YL 64 43,18LYL6443,Highlands — Cusco / Inca Heartland,Tier 1 — High Priority,0.7529,0.7148,0.9411,0.8021,1.09,1.18,-13.166,-72.559
9,19L AF 77 05,19LAF7705,Highlands — Cusco / Inca Heartland,Tier 1 — High Priority,0.7517,0.7936,0.8823,0.8468,0.63,2.35,-13.499,-71.983
10,18L YL 64 44,18LYL6444,Highlands — Cusco / Inca Heartland,Tier 1 — High Priority,0.7466,0.695,0.9486,0.7965,1.27,1.03,-13.157,-72.559
11,19L AF 79 02,19LAF7902,Highlands — Cusco / Inca Heartland,Tier 1 — High Priority,0.7364,0.7371,0.9125,0.8397,1.22,1.75,-13.526,-71.965
12,19L AF 80 02,19LAF8002,Highlands — Cusco / Inca Heartland,Tier 1 — High Priority,0.7356,0.757,0.8663,0.8749,1.35,2.67,-13.526,-71.956
13,19L AF 80 02,19LAF8002,Highlands — Cusco / Inca Heartland,Tier 1 — High Priority,0.7351,0.7991,0.8188,0.856,0.66,3.62,-13.526,-71.947
14,18L TM 72 66,18LTM7266,Central Coast — Lima Valley,Tier 1 — High Priority,0.7304,0.9114,0.6666,0.9671,0.58,6.67,-12.057,-77.091
15,19L AF 78 02,19LAF7802,Highlands — Cusco / Inca Heartland,Tier 1 — High Priority,0.7234,0.7053,0.9536,0.7544,0.65,0.93,-13.526,-71.974
16,17L QM 14 03,17LQM1403,North Coast — Mochica Belt,Tier 1 — High Priority,0.7154,0.8045,0.8677,0.8731,0.79,2.65,-8.102,-79.054
17,17L QM 13 04,17LQM1304,North Coast — Mochica Belt,Tier 1 — High Priority,0.7045,0.8183,0.8146,0.8698,0.59,3.71,-8.093,-79.063
18,18L TM 74 64,18LTM7464,Central Coast — Lima Valley,Tier 1 — High Priority,0.7028,0.8282,0.7285,0.8798,0.59,5.43,-12.075,-77.073
19,17L QM 14 04,17LQM1404,North Coast — Mochica Belt,Tier 1 — High Priority,0.7025,0.7908,0.8625,0.834,0.52,2.75,-8.093,-79.054
20,17L QM 15 02,17LQM1502,North Coast — Mochica Belt,Tier 1 — High Priority,0.6989,0.7614,0.8974,0.8186,0.7,2.05,-8.111,-79.045
21,17L QM 14 02,17LQM1402,North Coast — Mochica Belt,Tier 1 — High Priority,0.6957,0.7707,0.8547,0.8579,1.02,2.91,-8.111,-79.054
22,17L QM 13 02,17LQM1302,North Coast — Mochica Belt,Tier 1 — High Priority,0.6952,0.8066,0.8087,0.8509,0.52,3.83,-8.111,-79.063
23,19L AF 78 06,19LAF7806,Highlands — Cusco / Inca Heartland,Tier 1 — High Priority,0.6892,0.7066,0.8304,0.7662,0.78,3.39,-13.49,-71.974
24,18L YL 64 45,18LYL6445,Highlands — Cusco / Inca Heartland,Tier 1 — High Priority,0.6882,0.6075,0.9175,0.7015,1.34,1.65,-13.148,-72.559
25,18L YL 67 44,18LYL6744,Highlands — Cusco / Inca Heartland,Tier 1 — High Priority,0.6881,0.616,0.9013,0.7183,1.42,1.97,-13.157,-72.532
26,19L AF 76 04,19LAF7604,Highlands — Cusco / Inca Heartland,Tier 1 — High Priority,0.6857,0.6546,0.9071,0.7268,0.99,1.86,-13.508,-71.992
27,17L QM 16 03,17LQM1603,North Coast — Mochica Belt,Tier 1 — High Priority,0.6825,0.6943,0.9652,0.7524,0.77,0.7,-8.102,-79.036
28,18L YL 68 42,18LYL6842,Highlands — Cusco / Inca Heartland,Tier 1 — High Priority,0.6821,0.6452,0.832,0.7432,1.32,3.36,-13.175,-72.523
29,18L YL 65 41,18LYL6541,Highlands — Cusco / Inca Heartland,Tier 1 — High Priority,0.6819,0.634,0.8668,0.6974,0.91,2.66,-13.184,-72.55
30,18L YL 66 45,18LYL6645,Highlands — Cusco / Inca Heartland,Tier 1 — High Priority,0.6805,0.6083,0.9175,0.6527,0.68,1.65,-13.148,-72.541
31,19L AF 80 05,19LAF8005,Highlands — Cusco / Inca Heartland,Tier 1 — High Priority,0.676,0.71,0.7872,0.7605,0.66,4.26,-13.499,-71.947
32,18L TM 72 64,18LTM7264,Central Coast — Lima Valley,Tier 1 — High Priority,0.6757,0.8235,0.641,0.8875,0.72,7.18,-12.075,-77.091
33,19L AF 78 06,19LAF7806,Highlands — Cusco / Inca Heartland,Tier 1 — High Priority,0.6733,0.6867,0.8149,0.7462,0.8,3.7,-13.49,-71.965
34,19L AF 76 05,19LAF7605,Highlands — Cusco / Inca Heartland,Tier 1 — High Priority,0.6681,0.6377,0.8667,0.7349,1.32,2.67,-13.499,-71.992
35,18L YL 68 43,18LYL6843,Highlands — Cusco / Inca Heartland,Tier 1 — High Priority,0.668,0.6122,0.8503,0.6999,1.25,2.99,-13.166,-72.523
36,19L AF 81 04,19LAF8104,Highlands — Cusco / Inca Heartland,Tier 1 — High Priority,0.668,0.7063,0.7638,0.766,0.78,4.72,-13.508,-71.938
37,18L YL 63 43,18LYL6343,Highlands — Cusco / Inca Heartland,Tier 1 — High Priority,0.666,0.5748,0.8972,0.6822,1.57,2.06,-13.166,-72.568
38,18L YL 68 41,18LYL6841,Highlands — Cusco / Inca Heartland,Tier 1 — High Priority,0.6649,0.6386,0.8024,0.7066,0.96,3.95,-13.184,-72.523
39,17L QM 13 05,17LQM1305,North Coast — Mochica Belt,Tier 1 — High Priority,0.6619,0.7522,0.7981,0.7953,0.54,4.04,-8.084,-79.063
40,18L TM 72 67,18LTM7267,Central Coast — Lima Valley,Tier 1 — High Priority,0.6618,0.7708,0.6687,0.8811,1.25,6.63,-12.048,-77.091
41,17M PN 46 15,17MPN4615,North Coast — Mochica Belt,Tier 1 — High Priority,0.6612,0.8518,0.6087,0.9107,0.65,7.83,-7.094,-79.675
42,19L AF 77 06,19LAF7706,Highlands — Cusco / Inca Heartland,Tier 1 — High Priority,0.6604,0.6438,0.8327,0.7358,1.25,3.35,-13.49,-71.983
43,19L AF 80 01,19LAF8001,Highlands — Cusco / Inca Heartland,Tier 1 — High Priority,0.6593,0.6486,0.846,0.6966,0.69,3.08,-13.535,-71.956
44,17L QM 15 04,17LQM1504,North Coast — Mochica Belt,Tier 1 — High Priority,0.6584,0.6698,0.9089,0.7697,1.3,1.82,-8.093,-79.045
45,18L YL 63 44,18LYL6344,Highlands — Cusco / Inca Heartland,Tier 1 — High Priority,0.6561,0.5408,0.9013,0.6975,2.25,1.97,-13.157,-72.568
46,17L QM 17 02,17LQM1702,North Coast — Mochica Belt,Tier 1 — High Priority,0.6542,0.6577,0.9368,0.718,0.84,1.26,-8.111,-79.027
47,19L AF 77 02,19LAF7702,Highlands — Cusco / Inca Heartland,Tier 1 — High Priority,0.6534,0.5683,0.963,0.6329,1.02,0.74,-13.526,-71.983
48,17L QM 15 01,17LQM1501,North Coast — Mochica Belt,Tier 1 — High Priority,0.6513,0.6879,0.8617,0.7683,1.05,2.77,-8.12,-79.045
49,17L QM 16 01,17LQM1601,North Coast — Mochica Belt,Tier 1 — High Priority,0.6473,0.6753,0.8842,0.7301,0.75,2.32,-8.12,-79.036
50,19L AF 80 01,19LAF8001,Highlands — Cusco / Inca Heartland,Tier 1 — High Priority,0.6469,0.6469,0.8034,0.7054,0.83,3.93,-13.535,-71.947
51,17L QM 14 05,17LQM1405,North Coast — Mochica Belt,Tier 1 — High Priority,0.6462,0.697,0.841,0.7519,0.73,3.18,-8.084,-79.054
52,17L QM 14 01,17LQM1401,North Coast — Mochica Belt,Tier 1 — High Priority,0.6458,0.6929,0.8276,0.787,1.2,3.45,-8.12,-79.054
53,18L TM 73 67,18LTM7367,Central Coast — Lima Valley,Tier 1 — High Priority,0.6396,0.7101,0.7175,0.7965,1.09,5.65,-12.048,-77.082
54,19L AF 76 03,19LAF7603,Highlands — Cusco / Inca Heartland,Tier 1 — High Priority,0.6389,0.5522,0.9331,0.6365,1.32,1.34,-13.517,-71.992
55,17L QM 17 03,17LQM1703,North Coast — Mochica Belt,Tier 1 — High Priority,0.6375,0.597,0.9801,0.6821,1.25,0.4,-8.102,-79.027
56,18L WJ 09 55,18LWJ0955,South Desert — Nazca-Palpa-Ica,Tier 1 — High Priority,0.6346,0.8511,0.0256,0.9259,0.81,43.99,-14.879,-74.91
57,19L AF 79 01,19LAF7901,Highlands — Cusco / Inca Heartland,Tier 1 — High Priority,0.6334,0.574,0.8839,0.6457,1.11,2.32,-13.535,-71.965
58,18L YL 63 42,18LYL6342,Highlands — Cusco / Inca Heartland,Tier 1 — High Priority,0.6322,0.5375,0.872,0.6077,1.16,2.56,-13.175,-72.568
59,18L YL 64 41,18LYL6441,Highlands — Cusco / Inca Heartland,Tier 1 — High Priority,0.632,0.5491,0.8582,0.6062,0.94,2.84,-13.184,-72.559
60,17M PN 45 18,17MPN4518,North Coast — Mochica Belt,Tier 1 — High Priority,0.627,0.9049,0.4005,0.9578,0.55,10.98,-7.067,-79.684
61,19L AF 79 06,19LAF7906,Highlands — Cusco / Inca Heartland,Tier 1 — High Priority,0.6261,0.6129,0.7891,0.6808,1.0,4.22,-13.49,-71.956
62,18L YL 63 45,18LYL6345,Highlands — Cusco / Inca Heartland,Tier 1 — High Priority,0.6218,0.4911,0.8821,0.638,2.3,2.36,-13.148,-72.568
63,18L WJ 09 54,18LWJ0954,South Desert — Nazca-Palpa-Ica,Tier 1 — High Priority,0.6216,0.8333,0.0242,0.8919,0.66,44.65,-14.888,-74.91
64,17L QM 16 04,17LQM1604,North Coast — Mochica Belt,Tier 1 — High Priority,0.6215,0.5774,0.949,0.6901,1.63,1.02,-8.093,-79.036
65,19L AF 82 03,19LAF8203,Highlands — Cusco / Inca Heartland,Tier 1 — High Priority,0.6213,0.6457,0.7243,0.6974,0.74,5.51,-13.517,-71.929
66,17M PN 47 14,17MPN4714,North Coast — Mochica Belt,Tier 1 — High Priority,0.6198,0.7408,0.6716,0.8048,0.8,6.57,-7.103,-79.666
67,19L AF 81 01,19LAF8101,Highlands — Cusco / Inca Heartland,Tier 1 — High Priority,0.6191,0.6237,0.7586,0.673,0.73,4.83,-13.535,-71.938
68,17M PN 45 16,17MPN4516,North Coast — Mochica Belt,Tier 1 — High Priority,0.6189,0.8482,0.4673,0.9214,0.79,9.13,-7.085,-79.684
69,17L QM 18 01,17LQM1801,North Coast — Mochica Belt,Tier 1 — High Priority,0.6123,0.6166,0.8709,0.6805,0.94,2.58,-8.12,-79.018
70,18L TM 71 66,18LTM7166,Central Coast — Lima Valley,Tier 1 — High Priority,0.612,0.7142,0.6181,0.8021,1.1,7.64,-12.057,-77.1
71,17L QM 18 02,17LQM1802,North Coast — Mochica Belt,Tier 1 — High Priority,0.6105,0.5864,0.9101,0.67,1.25,1.8,-8.111,-79.018
72,19L AF 82 02,19LAF8202,Highlands — Cusco / Inca Heartland,Tier 1 — High Priority,0.6104,0.6225,0.7228,0.6904,0.98,5.54,-13.526,-71.929
73,18L WJ 06 57,18LWJ0657,South Desert — Nazca-Palpa-Ica,Tier 1 — High Priority,0.6058,0.7799,0.0342,0.8941,1.28,40.49,-14.861,-74.937
74,18L TM 74 62,18LTM7462,Central Coast — Lima Valley,Tier 1 — High Priority,0.6055,0.6814,0.6662,0.7466,0.87,6.68,-12.093,-77.073
75,18L YL 68 40,18LYL6840,Highlands — Cusco / Inca Heartland,Tier 1 — High Priority,0.6044,0.5498,0.7658,0.6143,1.05,4.68,-13.193,-72.523
76,18L YL 69 42,18LYL6942,Highlands — Cusco / Inca Heartland,Tier 1 — High Priority,0.6036,0.532,0.7884,0.6113,1.3,4.23,-13.175,-72.514
77,17L QM 19 01,17LQM1901,North Coast — Mochica Belt,Tier 1 — High Priority,0.6001,0.6189,0.8399,0.655,0.55,3.2,-8.12,-79.009
78,19L AF 76 06,19LAF7606,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.5997,0.5288,0.8214,0.6595,1.98,3.57,-13.49,-71.992
79,18L WJ 07 57,18LWJ0757,South Desert — Nazca-Palpa-Ica,Tier 2 — Medium Priority,0.5981,0.7654,0.0322,0.8835,1.34,41.22,-14.861,-74.928
80,18L YL 68 44,18LYL6844,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.5964,0.4749,0.8531,0.582,1.84,2.94,-13.157,-72.523
81,18L YL 67 45,18LYL6745,Highlands — Cusco / Inca Heartland,Tier 2 — Medium Priority,0.596,0.4629,0.8821,0.5503,1.59,2.36,-13.148,-72.532
