global_rank,mgrs_1km,mgrs_compact,region,tier,composite_score,composite_score_pre_modern_filter,modern_access_score,modern_penalty_factor,gap_score,river_score,density_score,nearest_site_km,nearest_river_km,nearest_settlement_km,nearest_major_road_km,nearest_post_office_km,nearest_airport_km,nearest_port_km,nearest_settlement_name,lat_center,lon_center
1,17M PN 46 15,17MPN4615,North Coast — Mochica Belt,Tier 2 -- Medium Priority,0.5344,0.6612,0.2256,0.8082,0.8518,0.6087,0.9107,0.65,7.83,20.49,5.0,27.79,118.24,164.53,Pueblo Nuevo,-7.094,-79.675
2,17M PN 47 14,17MPN4714,North Coast — Mochica Belt,Tier 2 -- Medium Priority,0.5097,0.6198,0.2091,0.8223,0.7408,0.6716,0.8048,0.8,6.57,19.13,6.32,26.39,119.54,164.52,Pueblo Nuevo,-7.103,-79.666
3,17M PN 45 16,17MPN4516,North Coast — Mochica Belt,Tier 2 -- Medium Priority,0.4876,0.6189,0.2495,0.7879,0.8482,0.4673,0.9214,0.79,9.13,21.63,3.63,29.18,116.94,164.56,Sana,-7.085,-79.684
4,17M PN 46 14,17MPN4614,North Coast — Mochica Belt,Tier 2 -- Medium Priority,0.481,0.5868,0.2121,0.8197,0.6932,0.655,0.745,0.7,6.9,20.0,5.85,27.21,119.17,165.23,Pueblo Nuevo,-7.103,-79.675
5,17M PN 48 15,17MPN4815,North Coast — Mochica Belt,Tier 2 -- Medium Priority,0.4699,0.5726,0.2111,0.8206,0.676,0.6317,0.7426,0.9,7.37,18.81,6.32,26.21,119.01,163.11,Pueblo Nuevo,-7.094,-79.657
6,17M PN 45 18,17MPN4518,North Coast — Mochica Belt,Tier 2 -- Medium Priority,0.4685,0.627,0.2974,0.7472,0.9049,0.4005,0.9578,0.55,10.98,19.95,2.12,30.42,115.09,163.19,Sana,-7.067,-79.684
7,17M PN 48 14,17MPN4814,North Coast — Mochica Belt,Tier 2 -- Medium Priority,0.4544,0.5597,0.2213,0.8119,0.6124,0.6813,0.727,1.58,6.37,18.27,5.93,25.59,119.93,163.81,Pueblo Nuevo,-7.103,-79.657
8,17M PN 47 17,17MPN4717,North Coast — Mochica Belt,Tier 3 -- Low Priority,0.4382,0.5523,0.2431,0.7934,0.7341,0.4535,0.8093,0.93,9.49,19.78,4.34,28.25,116.78,162.43,Sana,-7.076,-79.666
9,17M PN 45 15,17MPN4515,North Coast — Mochica Belt,Tier 3 -- Low Priority,0.4342,0.5402,0.2308,0.8038,0.6819,0.5038,0.7674,1.11,8.23,21.35,4.52,28.59,117.86,165.25,Pueblo Nuevo,-7.094,-79.684
10,17M PN 47 13,17MPN4713,North Coast — Mochica Belt,Tier 3 -- Low Priority,0.426,0.5283,0.2279,0.8063,0.5355,0.7194,0.6468,1.72,5.61,18.66,5.44,25.82,120.47,165.22,Pueblo Nuevo,-7.112,-79.666
11,17M PN 44 17,17MPN4417,North Coast — Mochica Belt,Tier 3 -- Low Priority,0.4193,0.5533,0.285,0.7578,0.7546,0.4183,0.8319,0.93,10.46,21.34,2.3,30.57,115.64,164.6,Sana,-7.076,-79.693
